cell_id,Tachybaptus ruficollis,Tachybaptus ruficollis [ruficollis Group],Tachybaptus ruficollis [tricolor Group]
820807fffffffff,2.0,0.0,0.0
820817fffffffff,8.0,0.0,0.0
82081ffffffffff,2.0,0.0,0.0
820837fffffffff,4.0,0.0,0.0
820887fffffffff,60.0,0.0,0.0
82088ffffffffff,2.0,0.0,0.0
820897fffffffff,11.0,0.0,0.0
82089ffffffffff,39.0,9.0,0.0
8208a7fffffffff,3.0,0.0,0.0
8208b7fffffffff,17.0,0.0,0.0
82094ffffffffff,2.0,0.0,0.0
820987fffffffff,17.0,0.0,0.0
820997fffffffff,51.0,0.0,0.0
82099ffffffffff,20.0,0.0,0.0
821107fffffffff,2.0,0.0,0.0
821127fffffffff,5.0,0.0,0.0
821137fffffffff,4.0,0.0,0.0
821187fffffffff,3.0,0.0,0.0
82118ffffffffff,16.0,0.0,0.0
8211affffffffff,20.0,10.0,0.0
82149ffffffffff,8.0,6.0,0.0
8214affffffffff,54.0,0.0,0.0
8214b7fffffffff,2.0,0.0,0.0
821597fffffffff,6.0,0.0,0.0
82159ffffffffff,2.0,1.0,0.0
8215b7fffffffff,2.0,0.0,0.0
821807fffffffff,42.0,8.0,0.0
82180ffffffffff,26.0,2.0,0.0
821827fffffffff,126.0,35.0,0.0
82182ffffffffff,1088.0,59.0,0.0
821847fffffffff,113.0,16.0,0.0
82184ffffffffff,6814.0,35.0,0.0
82185ffffffffff,408.0,0.0,0.0
821867fffffffff,114.0,8.0,0.0
82186ffffffffff,238.0,1.0,0.0
821877fffffffff,197.0,31.0,0.0
821907fffffffff,13.0,0.0,0.0
82190ffffffffff,403.0,23.0,0.0
82192ffffffffff,167.0,85.0,0.0
821947fffffffff,5092.0,755.0,0.0
82194ffffffffff,4789.0,677.0,0.0
821957fffffffff,1183.0,343.0,0.0
82195ffffffffff,3228.0,159.0,0.0
82196ffffffffff,1176.0,34.0,0.0
821977fffffffff,803.0,37.0,0.0
821e07fffffffff,1678.0,97.0,0.0
821e0ffffffffff,918.0,14.0,0.0
821e17fffffffff,1075.0,10.0,0.0
821e1ffffffffff,955.0,10.0,0.0
821e27fffffffff,390.0,0.0,0.0
821e2ffffffffff,174.0,0.0,0.0
821e37fffffffff,1444.0,18.0,0.0
821e47fffffffff,163.0,0.0,0.0
821e4ffffffffff,9.0,0.0,0.0
821e57fffffffff,62.0,0.0,0.0
821e5ffffffffff,141.0,2.0,0.0
821e67fffffffff,61.0,0.0,0.0
821e6ffffffffff,42.0,0.0,0.0
821e77fffffffff,32.0,0.0,0.0
821e87fffffffff,387.0,0.0,0.0
821e8ffffffffff,10.0,0.0,0.0
821e97fffffffff,12.0,0.0,0.0
821e9ffffffffff,1.0,0.0,0.0
821ea7fffffffff,634.0,2.0,0.0
821eaffffffffff,205.0,0.0,0.0
821eb7fffffffff,273.0,10.0,0.0
821ec7fffffffff,1508.0,85.0,0.0
821ecffffffffff,1777.0,95.0,0.0
821ed7fffffffff,426.0,0.0,0.0
821edffffffffff,748.0,4.0,0.0
821ee7fffffffff,215.0,0.0,0.0
821eeffffffffff,297.0,48.0,0.0
821ef7fffffffff,185.0,0.0,0.0
821f07fffffffff,648.0,68.0,0.0
821f0ffffffffff,122.0,0.0,0.0
821f17fffffffff,687.0,13.0,0.0
821f1ffffffffff,506.0,27.0,0.0
821f27fffffffff,148.0,17.0,0.0
821f2ffffffffff,147.0,10.0,0.0
821f37fffffffff,147.0,35.0,0.0
821f47fffffffff,20.0,0.0,0.0
821f4ffffffffff,46.0,0.0,0.0
821f57fffffffff,126.0,0.0,0.0
821f5ffffffffff,30.0,0.0,0.0
821f67fffffffff,9.0,0.0,0.0
821f6ffffffffff,5.0,0.0,0.0
821f77fffffffff,32.0,0.0,0.0
821f87fffffffff,1341.0,47.0,0.0
821f8ffffffffff,1557.0,386.0,0.0
821f97fffffffff,239.0,81.0,0.0
821f9ffffffffff,533.0,44.0,0.0
821fa7fffffffff,610.0,21.0,0.0
821faffffffffff,1903.0,11.0,0.0
821fb7fffffffff,507.0,36.0,0.0
82200ffffffffff,8.0,0.0,0.0
822017fffffffff,6.0,0.0,0.0
82201ffffffffff,15.0,0.0,0.0
82204ffffffffff,2.0,0.0,0.0
82205ffffffffff,1.0,0.0,0.0
822087fffffffff,2.0,0.0,0.0
82208ffffffffff,1.0,0.0,0.0
82209ffffffffff,10.0,0.0,0.0
8220a7fffffffff,5.0,0.0,0.0
8220affffffffff,2.0,0.0,0.0
8220b7fffffffff,18.0,0.0,0.0
8220cffffffffff,2.0,0.0,0.0
8220d7fffffffff,1.0,0.0,0.0
8220e7fffffffff,12.0,0.0,0.0
8220effffffffff,3.0,0.0,0.0
822157fffffffff,4.0,0.0,0.0
82219ffffffffff,3.0,0.0,0.0
822407fffffffff,1.0,0.0,0.0
82242ffffffffff,4.0,0.0,0.0
82244ffffffffff,19.0,12.0,0.0
822457fffffffff,15.0,0.0,0.0
822467fffffffff,6.0,0.0,0.0
82246ffffffffff,1.0,0.0,0.0
822477fffffffff,11.0,0.0,0.0
82248ffffffffff,21.0,1.0,0.0
8224affffffffff,1.0,0.0,0.0
8224c7fffffffff,8.0,0.0,0.0
8224d7fffffffff,6.0,2.0,0.0
8224effffffffff,8.0,0.0,0.0
822517fffffffff,1.0,0.0,0.0
82255ffffffffff,3.0,0.0,0.0
8225a7fffffffff,1.0,0.0,0.0
8225b7fffffffff,26.0,0.0,0.0
822c07fffffffff,361.0,11.0,0.0
822c0ffffffffff,69.0,0.0,0.0
822c17fffffffff,137.0,0.0,0.0
822c1ffffffffff,33.0,0.0,0.0
822c27fffffffff,167.0,2.0,0.0
822c2ffffffffff,295.0,0.0,0.0
822c37fffffffff,17.0,2.0,0.0
822c77fffffffff,14.0,0.0,0.0
822c87fffffffff,72.0,0.0,0.0
822c8ffffffffff,7.0,0.0,0.0
822c97fffffffff,947.0,77.0,0.0
822c9ffffffffff,20.0,0.0,0.0
822ca7fffffffff,12.0,0.0,0.0
822caffffffffff,111.0,0.0,0.0
822cc7fffffffff,103.0,0.0,0.0
822cd7fffffffff,1.0,0.0,0.0
822ce7fffffffff,127.0,0.0,0.0
822cf7fffffffff,246.0,0.0,0.0
822d07fffffffff,295.0,12.0,0.0
822d0ffffffffff,1.0,0.0,0.0
822d17fffffffff,349.0,18.0,0.0
822d1ffffffffff,36.0,0.0,0.0
822d27fffffffff,123.0,0.0,0.0
822d2ffffffffff,26.0,0.0,0.0
822d37fffffffff,1030.0,48.0,0.0
822d57fffffffff,5.0,0.0,0.0
822d5ffffffffff,5.0,0.0,0.0
822d67fffffffff,30.0,0.0,0.0
822d77fffffffff,20.0,0.0,0.0
822d87fffffffff,4.0,0.0,0.0
822d8ffffffffff,1.0,0.0,0.0
822d97fffffffff,16.0,0.0,0.0
822da7fffffffff,558.0,18.0,0.0
822daffffffffff,447.0,27.0,0.0
822db7fffffffff,6099.0,985.0,0.0
822e0ffffffffff,12.0,0.0,0.0
822e17fffffffff,13.0,0.0,0.0
822e1ffffffffff,28.0,2.0,0.0
822e2ffffffffff,14.0,0.0,0.0
822e47fffffffff,29.0,1.0,0.0
822e67fffffffff,444.0,19.0,0.0
822e6ffffffffff,441.0,2.0,0.0
822e77fffffffff,79.0,10.0,0.0
822eaffffffffff,24.0,1.0,0.0
822ec7fffffffff,1.0,0.0,0.0
822ecffffffffff,7.0,0.0,0.0
822ed7fffffffff,1.0,0.0,0.0
822ee7fffffffff,2.0,0.0,0.0
822ef7fffffffff,4.0,0.0,0.0
822f5ffffffffff,1033.0,125.0,0.0
823007fffffffff,6.0,0.0,0.0
823017fffffffff,28.0,8.0,0.0
82301ffffffffff,82.0,12.0,0.0
823027fffffffff,69.0,0.0,0.0
82302ffffffffff,2.0,0.0,0.0
823037fffffffff,66.0,14.0,0.0
823087fffffffff,207.0,37.0,0.0
823097fffffffff,122.0,9.0,0.0
82309ffffffffff,2045.0,606.0,0.0
8230a7fffffffff,17.0,2.0,0.0
8230affffffffff,15.0,0.0,0.0
8230b7fffffffff,7.0,0.0,0.0
8230c7fffffffff,173.0,1.0,0.0
8230cffffffffff,11.0,0.0,0.0
8230d7fffffffff,82.0,0.0,0.0
8230dffffffffff,38.0,2.0,0.0
8230e7fffffffff,796.0,49.0,0.0
8230effffffffff,50.0,0.0,0.0
8230f7fffffffff,2.0,0.0,0.0
82310ffffffffff,2.0,0.0,0.0
823117fffffffff,6.0,0.0,0.0
82311ffffffffff,4.0,0.0,0.0
82312ffffffffff,4.0,2.0,0.0
823147fffffffff,2.0,0.0,0.0
823157fffffffff,1.0,0.0,0.0
82315ffffffffff,6.0,0.0,0.0
82316ffffffffff,39.0,0.0,0.0
823177fffffffff,2.0,0.0,0.0
823187fffffffff,860.0,126.0,0.0
82318ffffffffff,224.0,5.0,0.0
823197fffffffff,23.0,0.0,0.0
82319ffffffffff,9.0,0.0,0.0
8231affffffffff,1670.0,186.0,0.0
8231b7fffffffff,4.0,0.0,0.0
823807fffffffff,1.0,0.0,0.0
823817fffffffff,20.0,0.0,0.0
823827fffffffff,1470.0,60.0,0.0
