cell_id,Tachyspiza hiogaster,Tachyspiza hiogaster sylvestris,Tachyspiza hiogaster [hiogaster Group]
8372c9fffffffff,2.0,0.0,0.0
8372d2fffffffff,5.0,0.0,0.0
8372dafffffffff,1.0,0.0,0.0
837795fffffffff,2.0,0.0,0.0
837798fffffffff,2.0,0.0,0.0
83779cfffffffff,2.0,0.0,0.0
839466fffffffff,3.0,0.0,0.0
839561fffffffff,10.0,0.0,0.0
83956dfffffffff,3.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0
839c90fffffffff,11.0,0.0,1.0
839ca6fffffffff,2.0,0.0,0.0
839caafffffffff,2.0,0.0,0.0
839cd3fffffffff,7.0,0.0,1.0
839cf3fffffffff,1.0,0.0,0.0
