cell_id,Tachyspiza hiogaster,Tachyspiza hiogaster sylvestris,Tachyspiza hiogaster [hiogaster Group]
8472895ffffffff,1.0,0.0,0.0
8472901ffffffff,2.0,0.0,0.0
8472905ffffffff,25.0,0.0,2.0
847290dffffffff,2.0,0.0,0.0
84729dbffffffff,3.0,0.0,0.0
8472a07ffffffff,7.0,0.0,0.0
8472a2bffffffff,36.0,0.0,2.0
8472a31ffffffff,5.0,0.0,2.0
8472a3bffffffff,3.0,0.0,2.0
8472ae1ffffffff,4.0,0.0,2.0
8472ae3ffffffff,22.0,0.0,7.0
8472ae7ffffffff,2.0,0.0,0.0
8472b49ffffffff,2.0,0.0,2.0
8472b57ffffffff,1.0,0.0,0.0
8472c91ffffffff,4.0,0.0,0.0
8472c9dffffffff,1.0,0.0,0.0
8472d19ffffffff,11.0,0.0,0.0
8472d23ffffffff,74.0,0.0,2.0
8472d49ffffffff,2.0,0.0,0.0
8472d53ffffffff,2.0,0.0,0.0
8472da1ffffffff,12.0,0.0,0.0
8472da3ffffffff,4.0,0.0,0.0
8472da9ffffffff,1.0,0.0,0.0
8472debffffffff,9.0,0.0,0.0
8472f23ffffffff,81.0,0.0,6.0
8472f35ffffffff,11.0,0.0,2.0
8472f37ffffffff,2.0,0.0,0.0
8473901ffffffff,8.0,0.0,0.0
8473905ffffffff,14.0,0.0,2.0
8473907ffffffff,19.0,0.0,0.0
8473909ffffffff,1.0,0.0,0.0
847390bffffffff,30.0,0.0,4.0
847390dffffffff,23.0,0.0,1.0
8473951ffffffff,2.0,0.0,2.0
8473955ffffffff,2.0,0.0,0.0
8473957ffffffff,1.0,0.0,0.0
8473959ffffffff,1.0,0.0,0.0
847395bffffffff,5.0,0.0,0.0
84739a1ffffffff,12.0,0.0,1.0
84739a3ffffffff,1.0,0.0,0.0
84739abffffffff,69.0,0.0,13.0
84739b1ffffffff,47.0,0.0,13.0
84739b5ffffffff,48.0,0.0,17.0
84739e1ffffffff,1.0,0.0,0.0
8476809ffffffff,1.0,0.0,0.0
847683bffffffff,1.0,0.0,0.0
847683dffffffff,1.0,0.0,0.0
8476845ffffffff,1.0,0.0,0.0
847699dffffffff,8.0,0.0,0.0
84769d1ffffffff,4.0,0.0,0.0
849421bffffffff,3.0,1.0,0.0
8494601ffffffff,28.0,0.0,0.0
849460bffffffff,1.0,0.0,0.0
849466dffffffff,3.0,0.0,3.0
849512dffffffff,2.0,0.0,0.0
8495133ffffffff,1.0,0.0,0.0
8495185ffffffff,1.0,0.0,0.0
84951abffffffff,23.0,0.0,0.0
84951b9ffffffff,1.0,1.0,0.0
84951e3ffffffff,13.0,4.0,0.0
84951e5ffffffff,18.0,4.0,0.0
84951e7ffffffff,9.0,0.0,0.0
8495441ffffffff,5.0,0.0,0.0
8495449ffffffff,4.0,0.0,0.0
849544bffffffff,3.0,0.0,0.0
849545dffffffff,2.0,0.0,0.0
8495489ffffffff,2.0,0.0,0.0
8495613ffffffff,38.0,0.0,0.0
84956a5ffffffff,3.0,0.0,2.0
84956adffffffff,2.0,0.0,0.0
84956bdffffffff,11.0,0.0,2.0
84956d3ffffffff,1.0,0.0,1.0
8495a53ffffffff,8.0,0.0,0.0
8495a55ffffffff,1.0,1.0,0.0
849c83bffffffff,2.0,0.0,0.0
849c851ffffffff,5.0,0.0,0.0
849c85bffffffff,47.0,0.0,4.0
849c8a5ffffffff,3.0,0.0,0.0
849c8b5ffffffff,3.0,0.0,0.0
849c901ffffffff,200.0,0.0,0.0
849c907ffffffff,2.0,0.0,0.0
849c993ffffffff,2.0,0.0,0.0
849c997ffffffff,2.0,0.0,0.0
849c9d5ffffffff,1.0,0.0,0.0
849c9d9ffffffff,2.0,0.0,0.0
849c9ddffffffff,2.0,0.0,0.0
849ca27ffffffff,3.0,0.0,0.0
849ca61ffffffff,1.0,0.0,0.0
849ca65ffffffff,19.0,0.0,0.0
849ca6dffffffff,1.0,0.0,0.0
849caa1ffffffff,2.0,0.0,0.0
849caa5ffffffff,6.0,0.0,0.0
849caadffffffff,18.0,0.0,3.0
849cae7ffffffff,21.0,0.0,0.0
849cb59ffffffff,6.0,0.0,0.0
849cc25ffffffff,2.0,0.0,0.0
849cc29ffffffff,3.0,0.0,0.0
849cc2bffffffff,1.0,0.0,0.0
849cd19ffffffff,2.0,0.0,0.0
849cd31ffffffff,66.0,0.0,3.0
849cd33ffffffff,14.0,0.0,0.0
849cd37ffffffff,2.0,0.0,0.0
849ed33ffffffff,1.0,0.0,0.0
849ed8dffffffff,1.0,0.0,0.0
849eda7ffffffff,6.0,0.0,0.0
849edb9ffffffff,2.0,0.0,0.0
849ede9ffffffff,4.0,0.0,0.0
849edebffffffff,2.0,0.0,0.0
