cell_id,Tangara velia,Tangara velia [velia Group],Tangara velia cyanomelas
835f03fffffffff,49.0,4.0,0.0
835f06fffffffff,1.0,0.0,0.0
835f0dfffffffff,5.0,0.0,0.0
835f10fffffffff,9.0,0.0,0.0
835f11fffffffff,5.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0
835f13fffffffff,2.0,0.0,0.0
835f16fffffffff,4.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0
835f2bfffffffff,9.0,0.0,0.0
835f40fffffffff,2.0,0.0,0.0
835f42fffffffff,6.0,0.0,0.0
835f54fffffffff,8.0,0.0,0.0
835f71fffffffff,20.0,0.0,0.0
835f75fffffffff,33.0,0.0,0.0
836641fffffffff,148.0,2.0,0.0
836643fffffffff,2.0,0.0,0.0
836648fffffffff,7.0,0.0,0.0
83664dfffffffff,1.0,0.0,0.0
836651fffffffff,1.0,0.0,0.0
83665afffffffff,201.0,4.0,0.0
83665bfffffffff,44.0,2.0,0.0
83665efffffffff,6.0,0.0,0.0
836663fffffffff,2.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0
8366c2fffffffff,214.0,0.0,0.0
8366c3fffffffff,7.0,0.0,0.0
8366c5fffffffff,21.0,0.0,0.0
8366cdfffffffff,1.0,0.0,0.0
8366cefffffffff,8.0,0.0,0.0
8366d1fffffffff,61.0,0.0,0.0
8366d8fffffffff,27.0,4.0,0.0
8366dafffffffff,11.0,0.0,0.0
8366dbfffffffff,14.0,1.0,0.0
8366dcfffffffff,836.0,75.0,0.0
8366ddfffffffff,66.0,9.0,0.0
8366defffffffff,116.0,7.0,0.0
8366e1fffffffff,5.0,0.0,0.0
8366e8fffffffff,13.0,0.0,0.0
8366e9fffffffff,5.0,0.0,0.0
8366eafffffffff,12.0,0.0,0.0
8366ecfffffffff,113.0,0.0,0.0
8366eefffffffff,69.0,0.0,0.0
838044fffffffff,2.0,0.0,0.0
838046fffffffff,145.0,12.0,0.0
83804dfffffffff,1.0,1.0,0.0
838065fffffffff,6.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0
83806bfffffffff,7.0,0.0,0.0
838071fffffffff,2.0,0.0,0.0
838074fffffffff,2.0,0.0,0.0
838075fffffffff,12.0,0.0,0.0
838114fffffffff,2.0,0.0,0.0
838116fffffffff,3.0,0.0,0.0
838123fffffffff,1.0,0.0,0.0
838132fffffffff,149.0,0.0,108.0
838133fffffffff,7.0,0.0,6.0
838136fffffffff,33.0,0.0,25.0
83814afffffffff,1.0,0.0,0.0
83814dfffffffff,10.0,3.0,0.0
83814efffffffff,2.0,0.0,0.0
838180fffffffff,15.0,0.0,12.0
838183fffffffff,3.0,0.0,3.0
838185fffffffff,44.0,0.0,26.0
838a00fffffffff,5.0,0.0,0.0
838a01fffffffff,9.0,2.0,0.0
838a04fffffffff,4.0,2.0,0.0
838a05fffffffff,32.0,13.0,0.0
838a10fffffffff,15.0,0.0,0.0
838a15fffffffff,7.0,0.0,0.0
838a1afffffffff,4.0,0.0,0.0
838a21fffffffff,7.0,2.0,0.0
838a23fffffffff,5.0,2.0,0.0
838a24fffffffff,2.0,0.0,0.0
838a31fffffffff,11.0,6.0,0.0
838a33fffffffff,2.0,0.0,0.0
838a45fffffffff,44.0,2.0,0.0
838a48fffffffff,3.0,0.0,0.0
838a56fffffffff,1.0,0.0,0.0
838a63fffffffff,25.0,1.0,0.0
838a68fffffffff,4.0,0.0,0.0
838a69fffffffff,113.0,0.0,0.0
838a6dfffffffff,71.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a8dfffffffff,6.0,0.0,0.0
838a92fffffffff,17.0,0.0,0.0
838a9cfffffffff,8.0,0.0,0.0
838aa8fffffffff,32.0,0.0,0.0
838aa9fffffffff,5.0,0.0,0.0
838aabfffffffff,4.0,0.0,0.0
838aadfffffffff,2.0,0.0,0.0
838adcfffffffff,2.0,2.0,0.0
838af0fffffffff,29.0,8.0,0.0
838af2fffffffff,60.0,11.0,0.0
838af4fffffffff,7.0,7.0,0.0
838af6fffffffff,123.0,17.0,0.0
838b0bfffffffff,2.0,0.0,0.0
838b40fffffffff,5.0,0.0,0.0
838b42fffffffff,4.0,0.0,0.0
838b44fffffffff,32.0,0.0,0.0
838b45fffffffff,1.0,0.0,0.0
838b46fffffffff,6.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0
838b5cfffffffff,8.0,0.0,0.0
838b61fffffffff,35.0,0.0,0.0
838b62fffffffff,10.0,0.0,0.0
838b63fffffffff,110.0,0.0,0.0
838b68fffffffff,3.0,0.0,0.0
838b69fffffffff,11.0,0.0,0.0
838b6cfffffffff,4.0,0.0,0.0
838b6efffffffff,23.0,0.0,0.0
838b71fffffffff,35.0,0.0,0.0
838b74fffffffff,7.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838b82fffffffff,2.0,0.0,0.0
838b88fffffffff,1.0,1.0,0.0
838b8dfffffffff,2.0,0.0,0.0
838b99fffffffff,35.0,0.0,0.0
838b9dfffffffff,189.0,14.0,0.0
838e64fffffffff,3.0,0.0,0.0
838f40fffffffff,22.0,0.0,0.0
838f41fffffffff,2.0,0.0,0.0
838f42fffffffff,1.0,0.0,0.0
838f43fffffffff,4.0,0.0,0.0
838f44fffffffff,2.0,0.0,0.0
838f46fffffffff,7.0,0.0,0.0
838f48fffffffff,8.0,0.0,0.0
838f49fffffffff,2.0,0.0,0.0
838f4afffffffff,2.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f61fffffffff,11.0,0.0,0.0
838f65fffffffff,3.0,0.0,0.0
838f6bfffffffff,31.0,4.0,0.0
838f6efffffffff,1.0,0.0,0.0
838f71fffffffff,1.0,0.0,0.0
838f72fffffffff,68.0,15.0,0.0
838f74fffffffff,15.0,0.0,0.0
83a596fffffffff,194.0,0.0,165.0
83a891fffffffff,15.0,0.0,15.0
