cell_id,Tchagra senegalus,Tchagra senegalus cucullatus,Tchagra senegalus [senegalus Group]
843834dffffffff,9.0,1.0,0.0
843862bffffffff,1.0,0.0,0.0
8438685ffffffff,3.0,0.0,0.0
843875bffffffff,1.0,0.0,0.0
84391a1ffffffff,8.0,2.0,0.0
84391abffffffff,112.0,0.0,0.0
8439805ffffffff,4.0,0.0,0.0
8439821ffffffff,4.0,0.0,0.0
8439825ffffffff,8.0,0.0,0.0
8439827ffffffff,26.0,2.0,0.0
8439833ffffffff,1.0,0.0,0.0
8439837ffffffff,30.0,2.0,0.0
8439915ffffffff,4.0,0.0,0.0
843991bffffffff,355.0,39.0,0.0
84399c9ffffffff,3.0,0.0,0.0
8439a83ffffffff,2.0,2.0,0.0
8439abdffffffff,85.0,22.0,0.0
8452153ffffffff,10.0,0.0,0.0
84521b3ffffffff,1.0,0.0,0.0
84521c1ffffffff,2.0,0.0,0.0
8452303ffffffff,6.0,0.0,0.0
8452345ffffffff,2.0,0.0,0.0
84524d7ffffffff,7.0,0.0,0.0
8452831ffffffff,6.0,0.0,0.0
8452867ffffffff,2.0,0.0,0.0
84528edffffffff,2.0,0.0,0.0
845291bffffffff,3.0,0.0,0.0
84529b3ffffffff,2.0,0.0,0.0
84529b5ffffffff,2.0,0.0,2.0
84529b9ffffffff,85.0,0.0,8.0
84529bbffffffff,1.0,0.0,0.0
84529dbffffffff,2.0,0.0,0.0
8452a39ffffffff,1.0,0.0,0.0
8452b1dffffffff,1.0,0.0,0.0
8452d6bffffffff,4.0,0.0,0.0
845402dffffffff,1.0,0.0,0.0
84540abffffffff,2.0,0.0,0.0
8454103ffffffff,10.0,0.0,6.0
8454107ffffffff,1.0,0.0,0.0
845411dffffffff,15.0,0.0,2.0
8454137ffffffff,1.0,0.0,0.0
8454139ffffffff,38.0,0.0,18.0
845413bffffffff,3.0,0.0,0.0
8454157ffffffff,10.0,0.0,0.0
8454183ffffffff,1.0,0.0,0.0
8454185ffffffff,9.0,0.0,2.0
8454187ffffffff,7.0,0.0,2.0
8454195ffffffff,3.0,0.0,0.0
8454197ffffffff,2.0,0.0,2.0
845419bffffffff,5.0,0.0,0.0
84541a1ffffffff,1.0,0.0,0.0
84541a3ffffffff,51.0,0.0,5.0
84541a5ffffffff,25.0,0.0,6.0
84541a9ffffffff,7.0,0.0,4.0
84541abffffffff,2.0,0.0,2.0
84541adffffffff,6.0,0.0,0.0
84541b5ffffffff,7.0,0.0,0.0
84541b9ffffffff,13.0,0.0,1.0
84541bdffffffff,11.0,0.0,2.0
84541e3ffffffff,1.0,0.0,0.0
84541e5ffffffff,7.0,0.0,0.0
84541e7ffffffff,20.0,0.0,8.0
8454447ffffffff,4.0,0.0,0.0
845449bffffffff,1.0,0.0,0.0
8454a93ffffffff,125.0,0.0,9.0
8454a9bffffffff,30.0,0.0,4.0
8454ad1ffffffff,3.0,0.0,0.0
8454ad3ffffffff,2.0,0.0,0.0
8454ad5ffffffff,26.0,0.0,2.0
8454ad7ffffffff,4.0,0.0,0.0
8454addffffffff,29.0,0.0,2.0
8454e21ffffffff,10.0,0.0,0.0
8454e25ffffffff,2.0,0.0,0.0
8454e41ffffffff,8.0,0.0,0.0
8454e4bffffffff,2.0,0.0,0.0
8454e4dffffffff,20.0,0.0,5.0
8454e51ffffffff,9.0,0.0,0.0
8454e59ffffffff,6.0,0.0,0.0
8454e5bffffffff,16.0,0.0,2.0
8454e5dffffffff,2.0,0.0,0.0
8454e8bffffffff,3.0,0.0,0.0
8454e91ffffffff,1.0,0.0,0.0
8454f0dffffffff,1.0,0.0,0.0
8454f1bffffffff,4.0,0.0,0.0
8454f45ffffffff,4.0,0.0,0.0
8454f47ffffffff,4.0,0.0,3.0
8454f49ffffffff,11.0,0.0,2.0
8454f4dffffffff,46.0,0.0,0.0
8454f59ffffffff,3.0,0.0,0.0
8454f6bffffffff,4.0,0.0,3.0
84580bdffffffff,6.0,0.0,0.0
84585a9ffffffff,2.0,0.0,0.0
845890bffffffff,4.0,0.0,0.0
845890dffffffff,12.0,0.0,0.0
8458919ffffffff,1.0,0.0,0.0
8458945ffffffff,1.0,0.0,0.0
8458949ffffffff,2.0,0.0,0.0
8458963ffffffff,1.0,0.0,0.0
8458969ffffffff,11.0,0.0,2.0
845896bffffffff,2.0,0.0,0.0
8458a2dffffffff,1.0,0.0,0.0
8458a4dffffffff,5.0,0.0,0.0
8458b35ffffffff,1.0,0.0,0.0
8458b51ffffffff,8.0,0.0,0.0
8458b5dffffffff,2.0,0.0,0.0
