cell_id,Telophorus zeylonus,Telophorus zeylonus [zeylonus Group],Telophorus zeylonus restrictus
828307fffffffff,2.0,0.0,0.0
828327fffffffff,8.0,0.0,0.0
82ac17fffffffff,41.0,6.0,0.0
82ac87fffffffff,2.0,0.0,0.0
82aca7fffffffff,160.0,50.0,0.0
82acaffffffffff,79.0,1.0,0.0
82ad17fffffffff,38.0,1.0,0.0
82ad37fffffffff,1391.0,427.0,0.0
82ad87fffffffff,10.0,0.0,0.0
82ad8ffffffffff,18.0,0.0,0.0
82ad9ffffffffff,2.0,0.0,0.0
82ada7fffffffff,135.0,31.0,0.0
82adaffffffffff,20.0,2.0,0.0
82adb7fffffffff,24.0,3.0,0.0
82bc0ffffffffff,8.0,0.0,0.0
82bc1ffffffffff,5.0,4.0,0.0
82bc47fffffffff,250.0,19.0,0.0
82bc4ffffffffff,522.0,166.0,0.0
82bc57fffffffff,81.0,7.0,0.0
82bc5ffffffffff,9.0,3.0,0.0
82bc6ffffffffff,676.0,148.0,0.0
82bc77fffffffff,220.0,4.0,0.0
82bcc7fffffffff,364.0,63.0,0.0
82bcd7fffffffff,175.0,29.0,0.0
82bcdffffffffff,5.0,0.0,0.0
82bce7fffffffff,415.0,103.0,0.0
82bceffffffffff,30.0,0.0,0.0
82bcf7fffffffff,339.0,88.0,0.0
