cell_id,Terpsiphone atrocaudata,Terpsiphone atrocaudata atrocaudata/illex,Terpsiphone atrocaudata periophthalmica
832f5dfffffffff,1.0,0.0,0.0
833098fffffffff,1.0,0.0,0.0
83309bfffffffff,22.0,0.0,0.0
83309dfffffffff,3.0,0.0,0.0
834b86fffffffff,4.0,0.0,0.0
834b9cfffffffff,1.0,0.0,0.0
834ba1fffffffff,1.0,0.0,0.0
834ba2fffffffff,2.0,0.0,0.0
834ba3fffffffff,2.0,0.0,0.0
834ba5fffffffff,7.0,0.0,0.0
834bb5fffffffff,2.0,0.0,0.0
8364a4fffffffff,1.0,0.0,0.0
836500fffffffff,3.0,0.0,0.0
836501fffffffff,1.0,0.0,0.0
836502fffffffff,3.0,0.0,0.0
836505fffffffff,1.0,0.0,0.0
83651cfffffffff,53.0,0.0,0.0
83651dfffffffff,9.0,0.0,0.0
836520fffffffff,13.0,0.0,0.0
836526fffffffff,39.0,0.0,0.0
836584fffffffff,15.0,0.0,0.0
83658efffffffff,15.0,0.0,0.0
8365b0fffffffff,2.0,0.0,0.0
8365b3fffffffff,2.0,0.0,0.0
83684efffffffff,1.0,0.0,0.0
836865fffffffff,1.0,0.0,0.0
836943fffffffff,2.0,0.0,0.0
83694efffffffff,4.0,0.0,0.0
838c10fffffffff,4.0,0.0,0.0
838d8cfffffffff,1.0,0.0,0.0
