cell_id,Terpsiphone atrocaudata,Terpsiphone atrocaudata atrocaudata/illex,Terpsiphone atrocaudata periophthalmica
822e67fffffffff,2.0,0.0,0.0
822e6ffffffffff,11.0,0.0,0.0
822e77fffffffff,3.0,0.0,0.0
823087fffffffff,11.0,0.0,0.0
82309ffffffffff,218.0,0.0,0.0
8230c7fffffffff,2.0,0.0,0.0
8230d7fffffffff,15.0,0.0,0.0
8230e7fffffffff,16.0,0.0,0.0
824107fffffffff,21.0,0.0,0.0
82411ffffffffff,159.0,0.0,0.0
824137fffffffff,2.0,0.0,0.0
8241a7fffffffff,5.0,0.0,0.0
8241b7fffffffff,278.0,0.0,0.0
824a27fffffffff,10.0,0.0,0.0
824b1ffffffffff,6.0,0.0,0.0
824b37fffffffff,9.0,0.0,0.0
824b57fffffffff,3.0,0.0,0.0
824b67fffffffff,3.0,0.0,0.0
824b77fffffffff,6.0,0.0,0.0
824b87fffffffff,225.0,0.0,0.0
824b97fffffffff,6.0,0.0,0.0
824b9ffffffffff,51.0,0.0,0.0
824ba7fffffffff,495.0,0.0,0.0
824baffffffffff,20.0,0.0,0.0
824bb7fffffffff,187.0,0.0,0.0
826507fffffffff,31.0,0.0,0.0
826527fffffffff,8.0,0.0,0.0
82658ffffffffff,121.0,0.0,0.0
