cell_id,Terpsiphone cinnamomea,Terpsiphone cinnamomea unirufa,Terpsiphone cinnamomea cinnamomea/talautensis
836819fffffffff,2.0,0.0,0.0
836840fffffffff,20.0,0.0,4.0
836842fffffffff,4.0,0.0,1.0
836843fffffffff,3.0,0.0,0.0
83684efffffffff,202.0,0.0,52.0
836855fffffffff,1.0,0.0,0.0
836856fffffffff,16.0,0.0,6.0
836858fffffffff,7.0,0.0,5.0
83685cfffffffff,36.0,0.0,19.0
83685dfffffffff,22.0,0.0,8.0
83685efffffffff,36.0,0.0,11.0
83686efffffffff,18.0,0.0,0.0
8368e4fffffffff,1.0,0.0,0.0
836941fffffffff,1.0,0.0,0.0
836943fffffffff,5.0,0.0,0.0
836948fffffffff,2.0,0.0,0.0
83694afffffffff,5.0,2.0,0.0
83694cfffffffff,5.0,3.0,0.0
83694efffffffff,57.0,5.0,0.0
836958fffffffff,14.0,0.0,0.0
836959fffffffff,18.0,2.0,0.0
83695dfffffffff,5.0,0.0,0.0
836968fffffffff,1.0,0.0,0.0
83696afffffffff,1.0,0.0,0.0
83696cfffffffff,2.0,2.0,0.0
83696dfffffffff,6.0,0.0,0.0
8373b0fffffffff,31.0,0.0,0.0
8373b4fffffffff,1.0,0.0,0.0
8373b5fffffffff,1.0,0.0,0.0
