cell_id,Thalurania colombica,Thalurania colombica venusta/townsendi,Thalurania colombica colombica/rostrifera,Thalurania colombica [fannyae Group],Thalurania colombica hypochlora,Thalurania colombica (Violet-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph)
834520fffffffff,344.0,0.0,0.0,0.0,0.0,40.0,0.0
834521fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834522fffffffff,1532.0,0.0,0.0,0.0,0.0,438.0,0.0
834523fffffffff,21.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,12.0,0.0,0.0,0.0,0.0,2.0,0.0
834526fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83452efffffffff,121.0,0.0,0.0,0.0,0.0,0.0,0.0
834530fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0
834531fffffffff,68.0,0.0,0.0,0.0,0.0,1.0,0.0
834532fffffffff,84.0,0.0,0.0,0.0,0.0,23.0,0.0
834534fffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
834535fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
834536fffffffff,59.0,0.0,0.0,0.0,0.0,14.0,0.0
836601fffffffff,100.0,0.0,0.0,0.0,0.0,7.0,0.0
836602fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
836606fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
836608fffffffff,1289.0,0.0,14.0,0.0,0.0,54.0,0.0
83660afffffffff,31.0,0.0,2.0,0.0,0.0,5.0,0.0
83660bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83660cfffffffff,65.0,0.0,0.0,0.0,0.0,4.0,0.0
83660dfffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0
83660efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
836610fffffffff,90.0,0.0,0.0,5.0,0.0,0.0,11.0
836611fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0
