cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
834424fffffffff,33.0,0.0,0.0
834501fffffffff,18.0,0.0,0.0
834505fffffffff,219.0,0.0,0.0
834508fffffffff,331.0,25.0,0.0
834509fffffffff,552.0,138.0,0.0
83450afffffffff,927.0,25.0,0.0
83450bfffffffff,469.0,29.0,0.0
83450cfffffffff,236.0,16.0,0.0
83450dfffffffff,254.0,87.0,0.0
83450efffffffff,264.0,35.0,0.0
834520fffffffff,132.0,2.0,0.0
834521fffffffff,1293.0,8.0,0.0
834522fffffffff,370.0,0.0,0.0
834523fffffffff,1188.0,0.0,0.0
834524fffffffff,393.0,0.0,0.0
834525fffffffff,165.0,15.0,0.0
834526fffffffff,1141.0,0.0,0.0
834528fffffffff,1120.0,27.0,0.0
834529fffffffff,29.0,0.0,0.0
83452afffffffff,3002.0,24.0,0.0
83452bfffffffff,110.0,1.0,0.0
83452cfffffffff,1968.0,136.0,0.0
83452dfffffffff,508.0,102.0,0.0
83452efffffffff,6657.0,44.0,0.0
834530fffffffff,29.0,0.0,0.0
834531fffffffff,26.0,0.0,0.0
834532fffffffff,23.0,0.0,0.0
834534fffffffff,123.0,0.0,0.0
834535fffffffff,107.0,0.0,0.0
834536fffffffff,15.0,0.0,0.0
834564fffffffff,1.0,0.0,0.0
834572fffffffff,124.0,16.0,0.0
834574fffffffff,8.0,0.0,0.0
834576fffffffff,21.0,0.0,0.0
834990fffffffff,14.0,0.0,0.0
834991fffffffff,3.0,0.0,0.0
834992fffffffff,3.0,0.0,0.0
834994fffffffff,3.0,0.0,0.0
834996fffffffff,513.0,68.0,0.0
834998fffffffff,152.0,0.0,0.0
83499efffffffff,5.0,0.0,0.0
835f03fffffffff,6.0,3.0,0.0
835f08fffffffff,111.0,0.0,0.0
835f09fffffffff,85.0,0.0,0.0
835f0bfffffffff,36.0,0.0,0.0
835f0dfffffffff,17.0,0.0,0.0
835f0efffffffff,3.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0
835f12fffffffff,44.0,0.0,0.0
835f13fffffffff,27.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f1cfffffffff,124.0,0.0,0.0
835f1dfffffffff,3.0,0.0,0.0
835f1efffffffff,27.0,0.0,0.0
835f29fffffffff,72.0,2.0,0.0
835f2bfffffffff,6.0,0.0,0.0
835f2dfffffffff,54.0,0.0,0.0
