cell_id,Thraupis palmarum,Thraupis palmarum [palmarum Group],Thraupis palmarum violilavata
835e66fffffffff,1.0,0.0,0.0
835f58fffffffff,2.0,2.0,0.0
835f5bfffffffff,4.0,0.0,0.0
836608fffffffff,8.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0
836613fffffffff,3.0,0.0,0.0
836619fffffffff,13.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0
8366b4fffffffff,74.0,0.0,0.0
8366b5fffffffff,13.0,0.0,0.0
8366d3fffffffff,5.0,0.0,0.0
8366d5fffffffff,6.0,0.0,0.0
8366defffffffff,8.0,0.0,0.0
8366e6fffffffff,6.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0
8366f1fffffffff,5.0,0.0,0.0
836741fffffffff,22.0,0.0,0.0
83675cfffffffff,2.0,0.0,0.0
83679afffffffff,8.0,0.0,0.0
83679bfffffffff,2.0,0.0,0.0
836d61fffffffff,3.0,0.0,0.0
836d68fffffffff,14.0,0.0,0.0
836d69fffffffff,21.0,0.0,0.0
836d6dfffffffff,6.0,0.0,0.0
836d6efffffffff,75.0,0.0,0.0
838023fffffffff,2.0,0.0,0.0
838a05fffffffff,1.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0
838af6fffffffff,2.0,0.0,0.0
838b0afffffffff,1.0,0.0,0.0
838b2efffffffff,3.0,0.0,0.0
838e62fffffffff,7.0,0.0,0.0
838f0dfffffffff,15.0,0.0,0.0
83a829fffffffff,11.0,0.0,0.0
83a862fffffffff,3.0,0.0,0.0
83a866fffffffff,2.0,0.0,0.0
83a875fffffffff,3.0,0.0,0.0
83a953fffffffff,16.0,0.0,0.0
83a95afffffffff,2.0,0.0,0.0
83a95bfffffffff,4.0,0.0,0.0
83a95efffffffff,8.0,0.0,0.0
