cell_id,Todiramphus sacer,Todiramphus sacer [juliae Group],Todiramphus sacer [sacer Group],Todiramphus sacer [solomonis Group],Todiramphus sacer [vitiensis Group],Todiramphus sacer marinus
829a17fffffffff,27.0,0.0,0.0,0.0,0.0,0.0
829a77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829b0ffffffffff,10.0,0.0,2.0,0.0,0.0,0.0
829b1ffffffffff,6.0,0.0,0.0,0.0,0.0,0.0
829b47fffffffff,66.0,0.0,0.0,0.0,0.0,0.0
829b4ffffffffff,51.0,0.0,0.0,0.0,0.0,0.0
829b5ffffffffff,87.0,0.0,0.0,0.0,0.0,0.0
829b6ffffffffff,151.0,0.0,0.0,0.0,0.0,0.0
829b77fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
829b8ffffffffff,38.0,0.0,0.0,0.0,0.0,0.0
829e07fffffffff,122.0,0.0,0.0,0.0,0.0,0.0
829e17fffffffff,78.0,0.0,0.0,0.0,0.0,0.0
829e27fffffffff,451.0,0.0,0.0,0.0,0.0,0.0
829e37fffffffff,18.0,0.0,0.0,0.0,0.0,0.0
829e8ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0
829eaffffffffff,1.0,0.0,0.0,0.0,0.0,0.0
829ec7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
829ed7fffffffff,14.0,0.0,0.0,4.0,0.0,0.0
