cell_id,Todiramphus sanctus,Todiramphus sanctus sanctus,Todiramphus sanctus canacorum,Todiramphus sanctus macmillani,Todiramphus sanctus vagans
83658bfffffffff,9.0,2.0,0.0,0.0,0.0
836818fffffffff,3.0,0.0,0.0,0.0,0.0
83685efffffffff,4.0,0.0,0.0,0.0,0.0
8368cefffffffff,2.0,2.0,0.0,0.0,0.0
83729dfffffffff,4.0,0.0,0.0,0.0,0.0
8372a3fffffffff,2.0,2.0,0.0,0.0,0.0
8372aefffffffff,7.0,0.0,0.0,0.0,0.0
8372c9fffffffff,2.0,0.0,0.0,0.0,0.0
8372d2fffffffff,5.0,1.0,0.0,0.0,0.0
8372f2fffffffff,3.0,3.0,0.0,0.0,0.0
837699fffffffff,3.0,0.0,0.0,0.0,0.0
839480fffffffff,2.0,2.0,0.0,0.0,0.0
8394edfffffffff,1.0,0.0,0.0,0.0,0.0
839500fffffffff,2.0,2.0,0.0,0.0,0.0
839561fffffffff,11.0,0.0,0.0,0.0,0.0
83956dfffffffff,4.0,0.0,0.0,0.0,0.0
839c20fffffffff,2.0,0.0,0.0,0.0,0.0
839c23fffffffff,1.0,0.0,0.0,0.0,0.0
839c8bfffffffff,1.0,0.0,0.0,0.0,0.0
839c90fffffffff,3.0,1.0,0.0,0.0,0.0
839caefffffffff,3.0,0.0,0.0,0.0,0.0
839cd2fffffffff,4.0,0.0,0.0,0.0,0.0
839cd3fffffffff,10.0,0.0,0.0,0.0,0.0
839f52fffffffff,4.0,0.0,0.0,4.0,0.0
83b880fffffffff,2.0,2.0,0.0,0.0,0.0
83b885fffffffff,1.0,1.0,0.0,0.0,0.0
83baf4fffffffff,9.0,0.0,0.0,0.0,0.0
83bb09fffffffff,25.0,0.0,0.0,0.0,15.0
83bb0cfffffffff,3.0,0.0,0.0,0.0,0.0
83bb0dfffffffff,1.0,0.0,0.0,0.0,1.0
83bb29fffffffff,169.0,0.0,0.0,0.0,169.0
83bb2bfffffffff,9.0,0.0,0.0,0.0,9.0
83bb50fffffffff,51.0,0.0,0.0,0.0,37.0
83bb51fffffffff,2.0,0.0,0.0,0.0,2.0
83bb52fffffffff,11.0,0.0,0.0,0.0,11.0
83bb53fffffffff,5.0,0.0,0.0,0.0,5.0
83bb54fffffffff,2.0,0.0,0.0,0.0,2.0
83bb56fffffffff,8.0,0.0,0.0,0.0,8.0
83bb5efffffffff,4.0,0.0,0.0,0.0,4.0
83bb74fffffffff,5.0,0.0,0.0,0.0,5.0
83bb76fffffffff,1.0,0.0,0.0,0.0,1.0
83be08fffffffff,3.0,0.0,0.0,0.0,0.0
83be0afffffffff,1.0,1.0,0.0,0.0,0.0
83be0bfffffffff,2.0,2.0,0.0,0.0,0.0
83be0cfffffffff,10.0,0.0,0.0,0.0,0.0
83be1dfffffffff,4.0,0.0,0.0,0.0,0.0
83be40fffffffff,3.0,0.0,0.0,0.0,0.0
83be44fffffffff,9.0,7.0,0.0,0.0,0.0
83be46fffffffff,1.0,0.0,0.0,0.0,0.0
83be50fffffffff,2.0,2.0,0.0,0.0,0.0
83be51fffffffff,2.0,0.0,0.0,0.0,0.0
83be60fffffffff,1.0,1.0,0.0,0.0,0.0
83be62fffffffff,4.0,0.0,0.0,0.0,0.0
83be63fffffffff,38.0,20.0,0.0,0.0,0.0
83be6afffffffff,2.0,0.0,0.0,0.0,0.0
83be6bfffffffff,2.0,2.0,0.0,0.0,0.0
83be71fffffffff,2.0,2.0,0.0,0.0,0.0
83be72fffffffff,24.0,1.0,0.0,0.0,0.0
83be75fffffffff,2.0,2.0,0.0,0.0,0.0
83be8dfffffffff,28.0,0.0,0.0,0.0,0.0
83bef5fffffffff,3.0,0.0,0.0,0.0,0.0
83bf4bfffffffff,33.0,0.0,0.0,0.0,0.0
83bf4cfffffffff,2.0,0.0,0.0,0.0,0.0
83da84fffffffff,2.0,0.0,0.0,0.0,0.0
83da86fffffffff,6.0,0.0,0.0,0.0,0.0
83da90fffffffff,3.0,0.0,0.0,0.0,0.0
83da94fffffffff,41.0,0.0,0.0,0.0,39.0
83daaafffffffff,1.0,0.0,0.0,0.0,1.0
83dab3fffffffff,2.0,0.0,0.0,0.0,2.0
