cell_id,Toxostoma curvirostre,Toxostoma curvirostre [curvirostre Group],Toxostoma curvirostre [palmeri Group]
82268ffffffffff,2923.0,43.0,0.0
82269ffffffffff,2.0,0.0,0.0
8226c7fffffffff,3.0,0.0,0.0
8226d7fffffffff,1069.0,33.0,0.0
8226dffffffffff,1249.0,17.0,0.0
8226f7fffffffff,154.0,0.0,0.0
8229b7fffffffff,5025.0,0.0,866.0
824807fffffffff,352.0,0.0,0.0
82480ffffffffff,1769.0,0.0,0.0
824817fffffffff,982.0,0.0,0.0
82481ffffffffff,153.0,0.0,0.0
824837fffffffff,209.0,0.0,0.0
824857fffffffff,461.0,0.0,0.0
82485ffffffffff,25.0,0.0,0.0
824887fffffffff,3787.0,63.0,0.0
82488ffffffffff,4523.0,73.0,0.0
824897fffffffff,785.0,7.0,0.0
82489ffffffffff,984.0,14.0,0.0
8248a7fffffffff,1602.0,2.0,0.0
8248affffffffff,1404.0,59.0,0.0
8248b7fffffffff,22855.0,1003.0,0.0
8248c7fffffffff,18453.0,267.0,0.0
8248cffffffffff,45.0,0.0,2.0
8248d7fffffffff,1355.0,32.0,0.0
8248dffffffffff,9075.0,466.0,0.0
8248e7fffffffff,820.0,0.0,0.0
8248effffffffff,89262.0,0.0,10052.0
8248f7fffffffff,1713.0,47.0,0.0
824987fffffffff,2369.0,98.0,0.0
82498ffffffffff,602.0,4.0,0.0
824997fffffffff,9565.0,991.0,0.0
82499ffffffffff,127.0,0.0,0.0
8249affffffffff,1885.0,0.0,6.0
8249b7fffffffff,1506.0,147.0,0.0
826d37fffffffff,2480.0,223.0,0.0
