cell_id,Treron calvus,Treron calvus [calvus Group],Treron calvus delalandii/granti
835286fffffffff,1.0,0.0,0.0
83541afffffffff,14.0,0.0,0.0
83541bfffffffff,12.0,0.0,0.0
8354a9fffffffff,193.0,9.0,0.0
8354c4fffffffff,3.0,0.0,0.0
8354ccfffffffff,1.0,0.0,0.0
8354e2fffffffff,20.0,0.0,0.0
8354e3fffffffff,3.0,0.0,0.0
8354e5fffffffff,12.0,2.0,0.0
8354e6fffffffff,1.0,0.0,0.0
8354eafffffffff,1.0,0.0,0.0
8354f0fffffffff,4.0,0.0,0.0
8354f1fffffffff,32.0,0.0,0.0
8354f3fffffffff,3.0,0.0,0.0
8354f4fffffffff,37.0,8.0,0.0
8354f5fffffffff,9.0,0.0,0.0
8354f6fffffffff,6.0,2.0,0.0
835886fffffffff,4.0,0.0,0.0
83588dfffffffff,2.0,0.0,0.0
835890fffffffff,27.0,0.0,0.0
835894fffffffff,15.0,0.0,0.0
835896fffffffff,62.0,5.0,0.0
8358a6fffffffff,4.0,0.0,0.0
8358b5fffffffff,6.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358c8fffffffff,5.0,0.0,0.0
8358d1fffffffff,4.0,0.0,0.0
8358d2fffffffff,5.0,0.0,0.0
8358d3fffffffff,42.0,0.0,0.0
8358dafffffffff,1.0,0.0,0.0
8358defffffffff,14.0,0.0,0.0
8358f4fffffffff,2.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
836a10fffffffff,1.0,0.0,0.0
836a50fffffffff,2.0,0.0,0.0
836a5afffffffff,2.0,0.0,0.0
836a9efffffffff,12.0,0.0,0.0
836ac0fffffffff,114.0,6.0,0.0
836ac1fffffffff,383.0,27.0,0.0
836ac3fffffffff,100.0,4.0,0.0
836ac5fffffffff,3.0,0.0,0.0
836ac8fffffffff,370.0,34.0,0.0
836ac9fffffffff,15.0,0.0,0.0
836acafffffffff,2.0,0.0,0.0
836accfffffffff,68.0,2.0,0.0
836acdfffffffff,30.0,7.0,0.0
836acefffffffff,325.0,7.0,0.0
836ad8fffffffff,18.0,0.0,0.0
836ad9fffffffff,4.0,0.0,0.0
836adcfffffffff,439.0,11.0,0.0
836addfffffffff,33.0,0.0,0.0
836adefffffffff,86.0,0.0,0.0
836ae0fffffffff,4.0,0.0,0.0
836ae8fffffffff,52.0,0.0,0.0
836aeafffffffff,153.0,2.0,0.0
836aebfffffffff,34.0,0.0,0.0
836aeefffffffff,3.0,0.0,0.0
837508fffffffff,209.0,12.0,0.0
837509fffffffff,2.0,0.0,0.0
83750afffffffff,1.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,765.0,81.0,0.0
837513fffffffff,1.0,0.0,0.0
837518fffffffff,5.0,0.0,0.0
837519fffffffff,3.0,0.0,0.0
83751dfffffffff,2.0,0.0,0.0
837520fffffffff,103.0,11.0,0.0
837523fffffffff,5.0,0.0,0.0
837529fffffffff,229.0,35.0,0.0
83752afffffffff,183.0,22.0,0.0
83752bfffffffff,77.0,7.0,0.0
83752dfffffffff,13.0,0.0,0.0
83752efffffffff,6.0,0.0,0.0
837530fffffffff,1.0,0.0,0.0
837531fffffffff,1.0,0.0,0.0
837536fffffffff,7.0,0.0,0.0
837576fffffffff,2.0,1.0,0.0
8375a0fffffffff,1.0,0.0,0.0
8375a5fffffffff,1.0,0.0,0.0
8375a8fffffffff,5.0,0.0,0.0
8375b0fffffffff,2.0,0.0,0.0
837a40fffffffff,10.0,0.0,0.0
837a41fffffffff,23.0,0.0,0.0
837a44fffffffff,5.0,0.0,0.0
837a45fffffffff,97.0,0.0,0.0
837a48fffffffff,62.0,0.0,0.0
837a49fffffffff,2.0,0.0,0.0
837a4bfffffffff,2.0,0.0,0.0
837a4cfffffffff,180.0,0.0,0.0
837a4dfffffffff,96.0,0.0,0.0
837a60fffffffff,45.0,0.0,0.0
837a61fffffffff,2.0,0.0,0.0
837a64fffffffff,2.0,0.0,0.0
837a65fffffffff,49.0,0.0,0.0
837a66fffffffff,2.0,0.0,0.0
837a68fffffffff,284.0,0.0,0.0
837a69fffffffff,3.0,0.0,0.0
837a6afffffffff,67.0,6.0,0.0
837a6bfffffffff,26.0,0.0,0.0
837a6cfffffffff,2.0,0.0,0.0
837a6dfffffffff,48.0,0.0,0.0
837a6efffffffff,114.0,0.0,0.0
837a74fffffffff,1.0,0.0,0.0
837a75fffffffff,1.0,0.0,0.0
837ac8fffffffff,1.0,0.0,0.0
837ac9fffffffff,1.0,0.0,0.0
837b48fffffffff,58.0,3.0,0.0
837b4afffffffff,21.0,0.0,0.0
837b4bfffffffff,14.0,4.0,0.0
837b4cfffffffff,2.0,0.0,0.0
837b4dfffffffff,2.0,0.0,0.0
837b59fffffffff,18.0,0.0,0.0
837b5bfffffffff,6.0,0.0,0.0
837b68fffffffff,1.0,0.0,0.0
837b6afffffffff,7.0,0.0,0.0
837b6bfffffffff,6.0,0.0,0.0
838212fffffffff,12.0,0.0,0.0
838218fffffffff,8.0,1.0,0.0
83821bfffffffff,3.0,0.0,0.0
838285fffffffff,7.0,0.0,0.0
83828afffffffff,2.0,0.0,0.0
83828bfffffffff,31.0,0.0,0.0
83828dfffffffff,294.0,0.0,0.0
838290fffffffff,3.0,0.0,0.0
838295fffffffff,1.0,0.0,0.0
8382a0fffffffff,14.0,0.0,0.0
8382a1fffffffff,3.0,0.0,0.0
8382a3fffffffff,11.0,0.0,0.0
8382a5fffffffff,4.0,0.0,0.0
8382a8fffffffff,27.0,0.0,0.0
8382aafffffffff,16.0,0.0,0.0
8382abfffffffff,24.0,0.0,0.0
8382acfffffffff,2.0,0.0,0.0
8382aefffffffff,2.0,0.0,0.0
8382b2fffffffff,1.0,0.0,0.0
8382c0fffffffff,42.0,0.0,0.0
8382c6fffffffff,17.0,0.0,0.0
8382d0fffffffff,47.0,0.0,0.0
8382d1fffffffff,7.0,0.0,0.0
8382d2fffffffff,26.0,0.0,0.0
8382d3fffffffff,39.0,0.0,0.0
8382d4fffffffff,5.0,0.0,0.0
8382d6fffffffff,5.0,0.0,0.0
8382f0fffffffff,20.0,0.0,0.0
8382f2fffffffff,12.0,0.0,0.0
8382f4fffffffff,4.0,0.0,0.0
8382f6fffffffff,4.0,0.0,0.0
838311fffffffff,4.0,0.0,0.0
838312fffffffff,6.0,3.0,0.0
838313fffffffff,6.0,2.0,0.0
838315fffffffff,7.0,3.0,0.0
83831efffffffff,5.0,0.0,0.0
838320fffffffff,5.0,0.0,0.0
838331fffffffff,1.0,0.0,0.0
838333fffffffff,8.0,3.0,0.0
83838afffffffff,4.0,4.0,0.0
838398fffffffff,22.0,0.0,0.0
8383a8fffffffff,7.0,1.0,0.0
8383acfffffffff,17.0,6.0,0.0
8383adfffffffff,2.0,0.0,0.0
839600fffffffff,14.0,6.0,0.0
839601fffffffff,7.0,0.0,0.0
839602fffffffff,26.0,8.0,0.0
839603fffffffff,1.0,0.0,0.0
839604fffffffff,2.0,2.0,0.0
839608fffffffff,3.0,0.0,0.0
839609fffffffff,19.0,6.0,0.0
83960bfffffffff,2.0,0.0,0.0
83960efffffffff,4.0,3.0,0.0
839614fffffffff,3.0,0.0,0.0
839615fffffffff,26.0,12.0,0.0
839620fffffffff,13.0,0.0,0.0
