cell_id,Treron formosae,Treron formosae permagnus/medioximus,Treron formosae formosae/filipinus
834a24fffffffff,44.0,21.0,0.0
834a26fffffffff,43.0,20.0,0.0
834b0bfffffffff,3.0,1.0,0.0
834b56fffffffff,86.0,38.0,0.0
834b73fffffffff,2.0,1.0,0.0
834b82fffffffff,4.0,0.0,0.0
834b84fffffffff,62.0,0.0,1.0
834b86fffffffff,939.0,0.0,79.0
834b91fffffffff,49.0,0.0,0.0
834b93fffffffff,5.0,0.0,0.0
834b9cfffffffff,14.0,0.0,0.0
834ba0fffffffff,16.0,0.0,1.0
834ba1fffffffff,9.0,0.0,0.0
834ba2fffffffff,12.0,0.0,3.0
834ba3fffffffff,161.0,0.0,24.0
834ba5fffffffff,2.0,0.0,0.0
834ba8fffffffff,34.0,15.0,0.0
834ba9fffffffff,7.0,1.0,0.0
834baefffffffff,1.0,0.0,0.0
834bb1fffffffff,222.0,0.0,119.0
834bb5fffffffff,6.0,0.0,2.0
83696dfffffffff,2.0,0.0,0.0
