cell_id,Tringa semipalmata,Tringa semipalmata semipalmata,Tringa semipalmata inornata
8412437ffffffff,2.0,0.0,0.0
8412485ffffffff,1.0,0.0,0.0
84124a5ffffffff,3.0,0.0,0.0
84124b3ffffffff,1.0,0.0,0.0
84124b5ffffffff,40.0,0.0,0.0
84124b7ffffffff,31.0,0.0,0.0
8412505ffffffff,2.0,0.0,2.0
8412511ffffffff,2.0,0.0,0.0
8412515ffffffff,25.0,0.0,6.0
8412523ffffffff,6.0,0.0,0.0
8412525ffffffff,1.0,0.0,0.0
8412527ffffffff,5.0,0.0,2.0
841252bffffffff,2.0,0.0,0.0
8412535ffffffff,95.0,0.0,11.0
8412537ffffffff,13.0,0.0,4.0
8412539ffffffff,22.0,0.0,9.0
841253bffffffff,2.0,0.0,0.0
8412581ffffffff,3.0,0.0,0.0
8412583ffffffff,18.0,0.0,0.0
8412591ffffffff,164.0,0.0,0.0
8412593ffffffff,65.0,0.0,0.0
8412595ffffffff,16.0,0.0,0.0
8412597ffffffff,241.0,0.0,0.0
8412599ffffffff,14.0,0.0,0.0
841259dffffffff,7.0,0.0,0.0
84125a3ffffffff,1.0,0.0,0.0
84125a5ffffffff,10.0,0.0,0.0
84125a9ffffffff,4.0,0.0,0.0
84125abffffffff,4.0,0.0,0.0
84125adffffffff,45.0,0.0,7.0
84125b9ffffffff,13.0,0.0,0.0
84125bbffffffff,61.0,0.0,0.0
84125d1ffffffff,1.0,0.0,0.0
84125d7ffffffff,2.0,0.0,0.0
84125dbffffffff,4.0,0.0,0.0
84125e5ffffffff,1.0,0.0,1.0
84126a1ffffffff,2.0,0.0,0.0
8412c1bffffffff,6.0,0.0,0.0
8412c81ffffffff,24.0,0.0,5.0
8412c83ffffffff,10.0,0.0,0.0
8412c85ffffffff,6.0,0.0,0.0
8412c87ffffffff,14.0,0.0,2.0
8412c89ffffffff,53.0,0.0,6.0
8412c8bffffffff,2.0,0.0,2.0
8412c8dffffffff,2.0,0.0,0.0
8412c91ffffffff,7.0,0.0,1.0
8412c93ffffffff,22.0,0.0,11.0
8412c95ffffffff,50.0,0.0,0.0
8412c97ffffffff,70.0,0.0,25.0
8412c99ffffffff,15.0,0.0,0.0
8412c9bffffffff,28.0,0.0,0.0
8412c9dffffffff,161.0,0.0,3.0
8412cb1ffffffff,30.0,0.0,12.0
8412cb3ffffffff,1.0,0.0,0.0
8412cb9ffffffff,5.0,0.0,0.0
8412cbbffffffff,41.0,0.0,7.0
8412cc1ffffffff,1346.0,0.0,131.0
8412cc3ffffffff,8.0,0.0,0.0
8412cc5ffffffff,45.0,0.0,2.0
8412cc7ffffffff,64.0,0.0,2.0
8412cc9ffffffff,1177.0,0.0,137.0
8412ccbffffffff,32.0,0.0,3.0
8412ccdffffffff,321.0,0.0,16.0
8412cd1ffffffff,30.0,0.0,0.0
8412cd3ffffffff,17.0,0.0,6.0
8412cd5ffffffff,20.0,0.0,0.0
8412cd7ffffffff,22.0,0.0,0.0
8412cd9ffffffff,563.0,0.0,55.0
8412cdbffffffff,175.0,0.0,28.0
8412cddffffffff,21.0,0.0,4.0
8412e13ffffffff,4.0,0.0,0.0
8412e1bffffffff,6.0,0.0,1.0
8412e81ffffffff,12.0,0.0,1.0
8412e83ffffffff,18.0,0.0,2.0
8412e85ffffffff,2.0,0.0,0.0
8412e87ffffffff,14.0,0.0,0.0
8412e89ffffffff,11.0,0.0,0.0
8412e8bffffffff,9.0,0.0,0.0
8412e8dffffffff,34.0,0.0,0.0
8412e91ffffffff,8.0,0.0,0.0
8412e93ffffffff,9.0,0.0,0.0
8412e95ffffffff,7.0,0.0,0.0
8412e97ffffffff,2.0,0.0,0.0
8412e99ffffffff,7.0,0.0,0.0
8412e9dffffffff,9.0,0.0,0.0
8412ea1ffffffff,14.0,0.0,0.0
8412ea3ffffffff,205.0,0.0,24.0
8412ea5ffffffff,3.0,0.0,0.0
8412ea7ffffffff,58.0,0.0,0.0
8412ea9ffffffff,3.0,0.0,0.0
8412eb1ffffffff,35.0,0.0,11.0
8412eb3ffffffff,51.0,0.0,8.0
8412eb5ffffffff,19.0,0.0,0.0
8412eb7ffffffff,24.0,0.0,2.0
8412eb9ffffffff,63.0,0.0,0.0
8412ebbffffffff,51.0,0.0,2.0
8412ebdffffffff,4.0,0.0,0.0
8412ec1ffffffff,307.0,0.0,12.0
8412ec3ffffffff,6.0,0.0,0.0
8412ec5ffffffff,17.0,0.0,0.0
8412ec7ffffffff,76.0,0.0,0.0
8412ec9ffffffff,59.0,0.0,5.0
8412ecbffffffff,43.0,0.0,9.0
8412ecdffffffff,27.0,0.0,0.0
8412ed1ffffffff,3.0,0.0,0.0
8412ed3ffffffff,13.0,0.0,0.0
8412ed9ffffffff,8.0,0.0,0.0
8412edbffffffff,5.0,0.0,0.0
8412eddffffffff,5.0,0.0,0.0
8412eebffffffff,4.0,0.0,0.0
841b9a5ffffffff,25.0,0.0,0.0
8426001ffffffff,2.0,0.0,0.0
8426003ffffffff,5.0,0.0,2.0
8426007ffffffff,4.0,0.0,0.0
8426009ffffffff,2.0,0.0,0.0
842600bffffffff,7.0,0.0,0.0
842600dffffffff,4.0,0.0,0.0
8426013ffffffff,15.0,0.0,11.0
8426015ffffffff,10.0,0.0,4.0
8426017ffffffff,10.0,0.0,4.0
842601dffffffff,4.0,0.0,1.0
8426021ffffffff,4.0,0.0,0.0
8426029ffffffff,14.0,0.0,0.0
842602bffffffff,15.0,0.0,2.0
8426031ffffffff,2.0,0.0,0.0
8426033ffffffff,8.0,0.0,0.0
8426035ffffffff,6.0,0.0,2.0
8426039ffffffff,6.0,0.0,2.0
842603bffffffff,2.0,0.0,0.0
842603dffffffff,9.0,0.0,0.0
8426041ffffffff,3.0,0.0,0.0
8426043ffffffff,2.0,0.0,0.0
8426047ffffffff,4.0,0.0,0.0
842604bffffffff,2.0,0.0,0.0
842604dffffffff,2.0,0.0,0.0
8426057ffffffff,2.0,0.0,0.0
8426059ffffffff,3.0,0.0,0.0
842605bffffffff,2.0,0.0,0.0
842605dffffffff,6.0,0.0,0.0
8426065ffffffff,2.0,0.0,0.0
8426067ffffffff,13.0,0.0,3.0
8426069ffffffff,5.0,0.0,0.0
842606dffffffff,11.0,0.0,0.0
84260a1ffffffff,19.0,0.0,2.0
84260a3ffffffff,1.0,0.0,0.0
84260a5ffffffff,8.0,0.0,0.0
84260a9ffffffff,4.0,0.0,0.0
84260abffffffff,2.0,0.0,0.0
84260adffffffff,12.0,0.0,2.0
84260b1ffffffff,1.0,0.0,0.0
84260b3ffffffff,18.0,0.0,0.0
84260b7ffffffff,6.0,0.0,0.0
84260b9ffffffff,58.0,0.0,0.0
84260bbffffffff,10.0,0.0,2.0
84260cbffffffff,6.0,0.0,0.0
84260d9ffffffff,34.0,0.0,0.0
84260e3ffffffff,4.0,0.0,0.0
84260e7ffffffff,23.0,0.0,0.0
84260ebffffffff,1.0,0.0,0.0
84260edffffffff,4.0,0.0,0.0
8426101ffffffff,11.0,0.0,3.0
8426107ffffffff,41.0,0.0,1.0
8426109ffffffff,1.0,0.0,0.0
842610dffffffff,8.0,0.0,4.0
8426115ffffffff,24.0,0.0,6.0
8426117ffffffff,21.0,0.0,2.0
842611bffffffff,3.0,0.0,0.0
842611dffffffff,8.0,0.0,0.0
8426121ffffffff,2.0,0.0,2.0
8426123ffffffff,8.0,0.0,0.0
8426125ffffffff,2.0,0.0,0.0
8426127ffffffff,2.0,0.0,0.0
842612bffffffff,17.0,0.0,0.0
8426133ffffffff,2.0,0.0,0.0
8426135ffffffff,13.0,0.0,2.0
8426137ffffffff,15.0,0.0,0.0
842613bffffffff,5.0,0.0,4.0
842614bffffffff,3.0,0.0,0.0
8426155ffffffff,2.0,0.0,0.0
842615bffffffff,2.0,0.0,0.0
842615dffffffff,2.0,0.0,0.0
842616bffffffff,1.0,0.0,0.0
842616dffffffff,4.0,0.0,0.0
8426187ffffffff,5.0,0.0,0.0
8426189ffffffff,2.0,0.0,0.0
842618bffffffff,5.0,0.0,0.0
8426191ffffffff,7.0,0.0,0.0
8426197ffffffff,1.0,0.0,0.0
8426199ffffffff,8.0,0.0,0.0
842619dffffffff,11.0,0.0,2.0
84261b3ffffffff,3.0,0.0,0.0
84261b5ffffffff,11.0,0.0,0.0
84261b9ffffffff,6.0,0.0,0.0
84261bbffffffff,2.0,0.0,0.0
84261c7ffffffff,2.0,0.0,0.0
84261cbffffffff,2.0,0.0,0.0
84261cdffffffff,5.0,0.0,0.0
84261d1ffffffff,1.0,0.0,0.0
84261d3ffffffff,7.0,0.0,0.0
84261d7ffffffff,2.0,0.0,0.0
84261dbffffffff,12.0,0.0,2.0
84261e5ffffffff,2.0,0.0,0.0
84261e7ffffffff,5.0,0.0,0.0
8426205ffffffff,59.0,0.0,3.0
8426209ffffffff,2.0,0.0,0.0
8426211ffffffff,2.0,0.0,0.0
8426213ffffffff,6.0,0.0,0.0
