cell_id,Troglodytes pacificus,Troglodytes pacificus [alascensis Group],Troglodytes pacificus [pacificus Group]
830c41fffffffff,31.0,0.0,0.0
830c42fffffffff,5.0,0.0,5.0
830c46fffffffff,3.0,0.0,0.0
830c51fffffffff,30.0,0.0,0.0
830c55fffffffff,4.0,0.0,0.0
830c5afffffffff,2.0,0.0,0.0
830c71fffffffff,3.0,0.0,0.0
830c73fffffffff,20.0,0.0,0.0
830ccafffffffff,2.0,2.0,0.0
830ceefffffffff,1.0,0.0,1.0
831285fffffffff,1.0,0.0,0.0
831286fffffffff,9.0,0.0,6.0
83128bfffffffff,2.0,0.0,2.0
831290fffffffff,20.0,0.0,19.0
831294fffffffff,8.0,0.0,8.0
83129bfffffffff,2.0,0.0,0.0
83129dfffffffff,2.0,0.0,2.0
8312b0fffffffff,2.0,0.0,0.0
8312b6fffffffff,7.0,0.0,7.0
8312c0fffffffff,4.0,0.0,0.0
8312c1fffffffff,10.0,0.0,2.0
8312c8fffffffff,6.0,0.0,0.0
8312cafffffffff,4.0,0.0,0.0
8312cbfffffffff,2.0,0.0,0.0
8312ccfffffffff,26.0,0.0,0.0
8312d1fffffffff,5.0,0.0,0.0
8312d5fffffffff,1.0,0.0,1.0
8312d8fffffffff,2.0,0.0,2.0
8312d9fffffffff,2.0,0.0,2.0
8312dafffffffff,2.0,0.0,0.0
8312defffffffff,10.0,0.0,4.0
8312f1fffffffff,2.0,0.0,0.0
8312f3fffffffff,2.0,0.0,2.0
8312f6fffffffff,6.0,0.0,0.0
831380fffffffff,2.0,0.0,0.0
831383fffffffff,2.0,0.0,0.0
831386fffffffff,5.0,0.0,0.0
83138afffffffff,2.0,0.0,0.0
83138dfffffffff,2.0,0.0,0.0
831390fffffffff,2.0,0.0,0.0
831391fffffffff,1.0,0.0,0.0
83139cfffffffff,2.0,0.0,0.0
8313a6fffffffff,1.0,0.0,0.0
8313b2fffffffff,2.0,0.0,0.0
831650fffffffff,7.0,7.0,0.0
831653fffffffff,1.0,1.0,0.0
83165efffffffff,35.0,26.0,0.0
83225afffffffff,1.0,1.0,0.0
8322d0fffffffff,34.0,27.0,0.0
8322dbfffffffff,14.0,10.0,0.0
832610fffffffff,2.0,0.0,0.0
832612fffffffff,2.0,0.0,2.0
832681fffffffff,115.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0
832688fffffffff,14.0,0.0,1.0
83268bfffffffff,3.0,0.0,0.0
83268cfffffffff,55.0,0.0,0.0
83268dfffffffff,2.0,0.0,0.0
832694fffffffff,2.0,0.0,0.0
832696fffffffff,97.0,0.0,0.0
832698fffffffff,2.0,0.0,0.0
832699fffffffff,5.0,0.0,0.0
83269afffffffff,5.0,0.0,0.0
8326a5fffffffff,1.0,0.0,0.0
