cell_id,Trogon collaris,Trogon collaris puella,Trogon collaris aurantiiventris/underwoodi,Trogon collaris [collaris Group]
84450ddffffffff,4.0,0.0,0.0,0.0
8445233ffffffff,2.0,0.0,0.0,0.0
844524bffffffff,3.0,0.0,0.0,0.0
8445291ffffffff,2.0,2.0,0.0,0.0
84452e1ffffffff,7.0,0.0,0.0,0.0
84452e7ffffffff,4.0,0.0,0.0,0.0
8449901ffffffff,2.0,0.0,0.0,0.0
8449903ffffffff,2.0,0.0,0.0,0.0
844990bffffffff,4.0,0.0,0.0,0.0
8449961ffffffff,4.0,4.0,0.0,0.0
8449963ffffffff,6.0,1.0,0.0,0.0
84499c5ffffffff,1.0,0.0,0.0,0.0
8449b19ffffffff,1.0,0.0,0.0,0.0
845f483ffffffff,1.0,0.0,0.0,0.0
845f583ffffffff,3.0,0.0,0.0,3.0
845f5b5ffffffff,9.0,0.0,0.0,6.0
8466131ffffffff,2.0,0.0,0.0,0.0
84661d1ffffffff,5.0,0.0,0.0,5.0
8466a01ffffffff,2.0,0.0,2.0,0.0
8466a0bffffffff,2.0,0.0,2.0,0.0
8466a57ffffffff,1.0,0.0,1.0,0.0
8466b41ffffffff,1.0,0.0,1.0,0.0
8466b45ffffffff,5.0,2.0,1.0,0.0
8466b49ffffffff,4.0,0.0,0.0,0.0
8466b4dffffffff,17.0,12.0,2.0,0.0
8466b55ffffffff,2.0,0.0,2.0,0.0
8466b5bffffffff,5.0,0.0,5.0,0.0
8466b5dffffffff,3.0,0.0,3.0,0.0
8466d31ffffffff,2.0,0.0,0.0,0.0
8466de1ffffffff,4.0,0.0,0.0,4.0
8466e03ffffffff,2.0,0.0,0.0,0.0
8466e15ffffffff,4.0,0.0,0.0,0.0
8466e57ffffffff,3.0,0.0,0.0,0.0
8466e65ffffffff,8.0,0.0,0.0,0.0
8466ecbffffffff,35.0,0.0,0.0,0.0
8467413ffffffff,8.0,0.0,0.0,0.0
8467425ffffffff,2.0,0.0,0.0,0.0
84674c5ffffffff,2.0,0.0,0.0,0.0
84674edffffffff,4.0,0.0,0.0,0.0
846758dffffffff,2.0,0.0,0.0,0.0
84675c1ffffffff,2.0,0.0,0.0,0.0
84675ddffffffff,4.0,0.0,0.0,0.0
84675e3ffffffff,4.0,0.0,0.0,0.0
84675e7ffffffff,4.0,0.0,0.0,0.0
84679a5ffffffff,8.0,0.0,0.0,0.0
846d21bffffffff,2.0,2.0,0.0,0.0
846d21dffffffff,2.0,0.0,0.0,0.0
846d239ffffffff,2.0,0.0,0.0,0.0
846d23dffffffff,4.0,0.0,0.0,0.0
846d2b9ffffffff,5.0,0.0,0.0,0.0
846d2c1ffffffff,2.0,2.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d305ffffffff,2.0,2.0,0.0,0.0
846d30dffffffff,8.0,0.0,0.0,0.0
846d315ffffffff,5.0,0.0,0.0,0.0
846d32bffffffff,2.0,2.0,0.0,0.0
846d337ffffffff,2.0,0.0,0.0,0.0
846d34bffffffff,2.0,2.0,0.0,0.0
846d36dffffffff,2.0,0.0,0.0,0.0
846d609ffffffff,19.0,0.0,0.0,0.0
846d681ffffffff,2.0,0.0,0.0,0.0
846d691ffffffff,6.0,0.0,0.0,0.0
846d69bffffffff,1.0,0.0,0.0,0.0
846d69dffffffff,16.0,0.0,12.0,0.0
848b0b5ffffffff,1.0,0.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0,2.0
848f2abffffffff,2.0,0.0,0.0,0.0
848f2cdffffffff,3.0,0.0,0.0,0.0
84a8917ffffffff,5.0,0.0,0.0,0.0
