cell_id,Trogon massena,Trogon massena massena/hoffmanni,Trogon massena australis
844505bffffffff,2.0,0.0,0.0
8445203ffffffff,140.0,4.0,0.0
8445205ffffffff,6.0,0.0,0.0
8445207ffffffff,34.0,0.0,0.0
844520bffffffff,134.0,3.0,0.0
8445211ffffffff,11.0,0.0,0.0
8445213ffffffff,12.0,0.0,0.0
8445215ffffffff,498.0,1.0,0.0
8445217ffffffff,100.0,0.0,0.0
8445219ffffffff,2.0,0.0,0.0
844521dffffffff,165.0,6.0,0.0
8445221ffffffff,38.0,0.0,0.0
8445225ffffffff,428.0,0.0,0.0
844522bffffffff,1.0,0.0,0.0
844522dffffffff,4.0,0.0,0.0
8445233ffffffff,720.0,0.0,0.0
844523bffffffff,97.0,0.0,0.0
8445257ffffffff,56.0,0.0,0.0
8445263ffffffff,7.0,0.0,0.0
8445281ffffffff,29.0,0.0,0.0
8445285ffffffff,37.0,0.0,0.0
8445287ffffffff,18.0,0.0,0.0
8445289ffffffff,265.0,0.0,0.0
844528dffffffff,95.0,1.0,0.0
84452a1ffffffff,2.0,0.0,0.0
84452a3ffffffff,1.0,0.0,0.0
84452a9ffffffff,510.0,9.0,0.0
84452abffffffff,27.0,0.0,0.0
84452adffffffff,363.0,38.0,0.0
84452b9ffffffff,1.0,0.0,0.0
84452c1ffffffff,4.0,2.0,0.0
84452c3ffffffff,235.0,42.0,0.0
84452c5ffffffff,91.0,5.0,0.0
84452c7ffffffff,66.0,0.0,0.0
84452c9ffffffff,41.0,11.0,0.0
84452cbffffffff,9.0,0.0,0.0
84452d5ffffffff,12.0,0.0,0.0
84452d9ffffffff,92.0,20.0,0.0
84452dbffffffff,13.0,0.0,0.0
84452e1ffffffff,2216.0,81.0,0.0
84452e3ffffffff,515.0,12.0,0.0
84452e5ffffffff,759.0,14.0,0.0
84452e7ffffffff,41.0,4.0,0.0
84452e9ffffffff,222.0,12.0,0.0
84452ebffffffff,1003.0,134.0,0.0
84452edffffffff,110.0,0.0,0.0
8445303ffffffff,4.0,0.0,0.0
8445305ffffffff,15.0,0.0,0.0
8445307ffffffff,2.0,0.0,0.0
8445309ffffffff,2.0,0.0,0.0
844530dffffffff,4.0,0.0,0.0
8445319ffffffff,25.0,0.0,0.0
8445321ffffffff,9.0,0.0,0.0
8445329ffffffff,1.0,0.0,0.0
844532bffffffff,72.0,0.0,0.0
8445343ffffffff,2.0,0.0,0.0
8445345ffffffff,6.0,0.0,0.0
844534dffffffff,2.0,0.0,0.0
8445351ffffffff,9.0,0.0,0.0
8445363ffffffff,32.0,0.0,0.0
8445365ffffffff,52.0,0.0,0.0
8445367ffffffff,22.0,0.0,0.0
8445649ffffffff,5.0,0.0,0.0
8466107ffffffff,291.0,14.0,0.0
846610bffffffff,4.0,0.0,0.0
8466111ffffffff,3.0,0.0,0.0
8466113ffffffff,3.0,0.0,0.0
8466117ffffffff,5.0,0.0,0.0
8466129ffffffff,24.0,0.0,0.0
8466131ffffffff,31.0,4.0,0.0
8466139ffffffff,206.0,17.0,0.0
846613dffffffff,16.0,0.0,0.0
8466163ffffffff,200.0,21.0,0.0
8466165ffffffff,118.0,20.0,0.0
8466167ffffffff,29.0,4.0,0.0
84661a5ffffffff,6.0,0.0,0.0
84661a7ffffffff,30.0,0.0,0.0
84661adffffffff,5.0,0.0,0.0
84661bdffffffff,8.0,0.0,0.0
8466a01ffffffff,36.0,0.0,0.0
8466a05ffffffff,19.0,0.0,0.0
8466a0bffffffff,212.0,12.0,0.0
8466a25ffffffff,12.0,0.0,0.0
8466a31ffffffff,8.0,0.0,0.0
8466a33ffffffff,80.0,0.0,0.0
8466a37ffffffff,3.0,0.0,0.0
8466a3bffffffff,6.0,0.0,0.0
8466a51ffffffff,7509.0,664.0,0.0
8466a55ffffffff,172.0,7.0,0.0
8466a57ffffffff,185.0,7.0,0.0
8466a59ffffffff,44.0,0.0,0.0
8466a5bffffffff,149.0,5.0,0.0
8466a5dffffffff,114.0,6.0,0.0
8466a65ffffffff,176.0,5.0,0.0
8466ad9ffffffff,2.0,0.0,0.0
8466b01ffffffff,457.0,0.0,0.0
8466b09ffffffff,679.0,0.0,0.0
8466b0bffffffff,793.0,0.0,0.0
8466b1dffffffff,13.0,2.0,0.0
8466b41ffffffff,98.0,0.0,0.0
8466b43ffffffff,93.0,0.0,0.0
8466b45ffffffff,198.0,0.0,0.0
8466b47ffffffff,352.0,0.0,0.0
8466b49ffffffff,351.0,0.0,0.0
8466b4bffffffff,36.0,0.0,0.0
8466b4dffffffff,17.0,0.0,0.0
8466b51ffffffff,50.0,0.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b55ffffffff,517.0,0.0,0.0
8466b57ffffffff,21.0,0.0,0.0
8466b59ffffffff,67.0,4.0,0.0
8466b5bffffffff,34.0,0.0,0.0
8466b5dffffffff,2.0,0.0,0.0
8466b69ffffffff,7.0,0.0,0.0
8466d01ffffffff,3.0,0.0,0.0
8466d05ffffffff,30.0,0.0,6.0
8466d07ffffffff,16.0,0.0,2.0
8466d0dffffffff,69.0,0.0,0.0
8466d23ffffffff,7.0,0.0,2.0
8466d55ffffffff,9.0,0.0,0.0
8466f01ffffffff,67.0,0.0,0.0
8466f03ffffffff,32.0,0.0,0.0
8466f0bffffffff,105.0,0.0,3.0
8466f35ffffffff,72.0,0.0,5.0
84678b7ffffffff,1.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,3.0,0.0,0.0
8467933ffffffff,1.0,0.0,0.0
846793bffffffff,14.0,0.0,0.0
8467945ffffffff,6.0,0.0,0.0
846794dffffffff,5.0,0.0,0.0
8467961ffffffff,80.0,0.0,0.0
8467963ffffffff,2.0,0.0,0.0
8467969ffffffff,3.0,0.0,0.0
846796bffffffff,2.0,0.0,0.0
84679a1ffffffff,692.0,0.0,0.0
84679a3ffffffff,124.0,0.0,0.0
84679a5ffffffff,4274.0,0.0,0.0
84679a7ffffffff,514.0,0.0,0.0
84679adffffffff,36.0,0.0,0.0
84679b3ffffffff,43.0,0.0,0.0
84679b5ffffffff,184.0,0.0,0.0
84679b7ffffffff,848.0,0.0,0.0
846d203ffffffff,2.0,0.0,0.0
846d20bffffffff,8.0,0.0,0.0
846d21bffffffff,55.0,23.0,0.0
846d21dffffffff,54.0,3.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,2.0,0.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,3.0,0.0,0.0
846d257ffffffff,2.0,0.0,0.0
846d2c1ffffffff,25.0,10.0,0.0
846d2c3ffffffff,55.0,2.0,0.0
846d2c5ffffffff,4.0,0.0,0.0
846d2c9ffffffff,430.0,39.0,0.0
846d2cbffffffff,61.0,23.0,0.0
846d2cdffffffff,7.0,0.0,0.0
846d2d1ffffffff,21.0,14.0,0.0
846d2dbffffffff,15.0,10.0,0.0
846d2ddffffffff,80.0,32.0,0.0
846d30dffffffff,37.0,2.0,0.0
846d311ffffffff,4.0,0.0,0.0
846d319ffffffff,83.0,24.0,0.0
846d31bffffffff,34.0,0.0,0.0
846d35dffffffff,23.0,5.0,0.0
846d681ffffffff,135.0,0.0,0.0
846d689ffffffff,189.0,0.0,0.0
846d68bffffffff,1316.0,0.0,0.0
846d68dffffffff,25.0,0.0,0.0
846d691ffffffff,175.0,0.0,0.0
846d693ffffffff,162.0,0.0,0.0
846d697ffffffff,2160.0,0.0,0.0
846d699ffffffff,553.0,0.0,0.0
846d69bffffffff,409.0,0.0,0.0
846d69dffffffff,1199.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d1ffffffff,43.0,0.0,0.0
846d6d3ffffffff,294.0,0.0,0.0
846d6d5ffffffff,100.0,0.0,0.0
846d6d7ffffffff,50.0,0.0,0.0
846d6d9ffffffff,2.0,0.0,0.0
846d6dbffffffff,8.0,0.0,0.0
