cell_id,Trogon surrucura,Trogon surrucura aurantius,Trogon surrucura surrucura
838102fffffffff,138.0,75.0,0.0
838106fffffffff,5.0,2.0,0.0
838116fffffffff,9.0,0.0,0.0
83811cfffffffff,3.0,0.0,0.0
83811efffffffff,6.0,6.0,0.0
838121fffffffff,65.0,0.0,31.0
838124fffffffff,57.0,0.0,19.0
83812dfffffffff,8.0,0.0,0.0
838130fffffffff,36.0,4.0,0.0
838132fffffffff,3.0,0.0,0.0
838133fffffffff,43.0,7.0,0.0
838134fffffffff,10.0,3.0,0.0
838136fffffffff,119.0,26.0,0.0
83a596fffffffff,5.0,0.0,0.0
83a800fffffffff,28.0,0.0,0.0
83a801fffffffff,137.0,0.0,0.0
83a802fffffffff,9.0,0.0,1.0
83a804fffffffff,108.0,0.0,3.0
83a805fffffffff,60.0,0.0,0.0
83a806fffffffff,728.0,0.0,138.0
83a808fffffffff,2.0,0.0,0.0
83a80cfffffffff,25.0,0.0,0.0
83a80dfffffffff,6.0,0.0,0.0
83a810fffffffff,1673.0,0.0,48.0
83a811fffffffff,9.0,0.0,0.0
83a812fffffffff,680.0,0.0,80.0
83a813fffffffff,11.0,0.0,1.0
83a814fffffffff,32.0,0.0,0.0
83a815fffffffff,624.0,0.0,49.0
83a816fffffffff,43.0,0.0,10.0
83a818fffffffff,3.0,0.0,0.0
83a81afffffffff,3.0,0.0,0.0
83a81bfffffffff,4.0,0.0,2.0
83a81cfffffffff,114.0,0.0,3.0
83a81dfffffffff,58.0,0.0,8.0
83a81efffffffff,18.0,0.0,0.0
83a820fffffffff,26.0,0.0,2.0
83a821fffffffff,53.0,0.0,0.0
83a822fffffffff,32.0,0.0,0.0
83a823fffffffff,33.0,0.0,6.0
83a824fffffffff,72.0,0.0,0.0
83a825fffffffff,34.0,0.0,0.0
83a826fffffffff,53.0,0.0,2.0
83a828fffffffff,34.0,0.0,0.0
83a829fffffffff,34.0,0.0,0.0
83a82afffffffff,27.0,0.0,0.0
83a82bfffffffff,11.0,0.0,0.0
83a82cfffffffff,32.0,0.0,0.0
83a82dfffffffff,22.0,0.0,0.0
83a82efffffffff,44.0,0.0,0.0
83a831fffffffff,142.0,0.0,8.0
83a833fffffffff,22.0,0.0,0.0
83a835fffffffff,363.0,0.0,13.0
83a846fffffffff,16.0,0.0,0.0
83a860fffffffff,11.0,0.0,0.0
83a862fffffffff,11.0,0.0,0.0
83a866fffffffff,13.0,0.0,0.0
83a870fffffffff,7.0,0.0,0.0
83a875fffffffff,34.0,0.0,0.0
83a876fffffffff,21.0,0.0,0.0
83a880fffffffff,63.0,39.0,0.0
83a881fffffffff,326.0,33.0,2.0
83a882fffffffff,194.0,50.0,0.0
83a883fffffffff,3.0,1.0,0.0
83a884fffffffff,258.0,23.0,2.0
83a885fffffffff,8.0,0.0,0.0
83a886fffffffff,20.0,3.0,0.0
83a889fffffffff,6.0,0.0,6.0
83a88bfffffffff,14.0,0.0,12.0
83a88cfffffffff,7.0,0.0,0.0
83a88dfffffffff,15.0,0.0,0.0
83a88efffffffff,17.0,4.0,0.0
83a891fffffffff,88.0,11.0,0.0
83a895fffffffff,25.0,1.0,0.0
83a8a0fffffffff,2.0,0.0,0.0
83a8a1fffffffff,1163.0,161.0,42.0
83a8a2fffffffff,662.0,103.0,9.0
83a8a3fffffffff,309.0,15.0,2.0
83a8a5fffffffff,8.0,0.0,1.0
83a8a8fffffffff,5.0,0.0,0.0
83a8a9fffffffff,68.0,0.0,5.0
83a8aafffffffff,22.0,0.0,0.0
83a8abfffffffff,4.0,0.0,0.0
83a8acfffffffff,167.0,0.0,10.0
83a8adfffffffff,16.0,0.0,12.0
83a8aefffffffff,50.0,7.0,0.0
83a8b1fffffffff,4.0,2.0,0.0
83a8c0fffffffff,100.0,0.0,2.0
83a8c1fffffffff,7.0,0.0,0.0
83a8c2fffffffff,25.0,0.0,0.0
83a8c3fffffffff,1.0,0.0,0.0
83a8c4fffffffff,9.0,0.0,0.0
83a8c6fffffffff,8.0,0.0,0.0
83a8d0fffffffff,3.0,0.0,0.0
83a8d1fffffffff,73.0,0.0,6.0
83a8d4fffffffff,31.0,0.0,11.0
83a8d5fffffffff,5.0,0.0,0.0
83a8dafffffffff,1.0,0.0,0.0
83a8defffffffff,32.0,0.0,0.0
83a8e1fffffffff,2.0,0.0,0.0
83a8e4fffffffff,4.0,0.0,0.0
83a8e6fffffffff,6.0,0.0,0.0
83a8f4fffffffff,10.0,0.0,0.0
83a901fffffffff,6.0,0.0,0.0
83a903fffffffff,10.0,0.0,0.0
83a908fffffffff,19.0,0.0,0.0
83a909fffffffff,42.0,0.0,0.0
83a90afffffffff,3.0,0.0,0.0
83a90bfffffffff,10.0,0.0,0.0
83a90cfffffffff,25.0,0.0,1.0
83a90dfffffffff,31.0,0.0,0.0
83a90efffffffff,132.0,0.0,5.0
83a918fffffffff,16.0,0.0,2.0
83a919fffffffff,52.0,0.0,2.0
83a91bfffffffff,146.0,0.0,3.0
83a91dfffffffff,117.0,0.0,4.0
83a92afffffffff,4.0,0.0,0.0
83a92bfffffffff,10.0,0.0,0.0
83a92cfffffffff,172.0,0.0,0.0
83a92dfffffffff,3.0,0.0,0.0
83a92efffffffff,62.0,0.0,0.0
83a940fffffffff,11.0,0.0,0.0
83a941fffffffff,244.0,0.0,0.0
83a942fffffffff,281.0,0.0,0.0
83a943fffffffff,502.0,0.0,0.0
83a944fffffffff,31.0,0.0,0.0
83a945fffffffff,44.0,0.0,0.0
83a946fffffffff,507.0,0.0,0.0
83a94cfffffffff,97.0,0.0,0.0
83a94dfffffffff,10.0,0.0,0.0
83a94efffffffff,40.0,0.0,0.0
83a950fffffffff,833.0,0.0,5.0
83a951fffffffff,56.0,0.0,0.0
83a952fffffffff,206.0,0.0,5.0
83a953fffffffff,2705.0,0.0,102.0
83a954fffffffff,17.0,0.0,0.0
83a955fffffffff,339.0,0.0,0.0
83a956fffffffff,12.0,0.0,2.0
83a958fffffffff,2.0,0.0,0.0
83a95afffffffff,182.0,0.0,0.0
83a95bfffffffff,9.0,0.0,0.0
83a95cfffffffff,244.0,0.0,0.0
83a95dfffffffff,20.0,0.0,0.0
83a95efffffffff,51.0,0.0,0.0
83a961fffffffff,38.0,0.0,0.0
