cell_id,Turdus fumigatus,Turdus fumigatus personus,Turdus fumigatus [fumigatus Group]
845e667ffffffff,65.0,0.0,0.0
845e711ffffffff,3.0,0.0,0.0
845e71bffffffff,355.0,0.0,0.0
845f01bffffffff,2.0,0.0,0.0
845f02bffffffff,2.0,0.0,0.0
845f035ffffffff,3.0,0.0,0.0
845f03bffffffff,1.0,0.0,0.0
845f03dffffffff,103.0,0.0,0.0
845f095ffffffff,9.0,0.0,0.0
845f09dffffffff,1.0,0.0,0.0
845f105ffffffff,1.0,0.0,0.0
845f12bffffffff,7.0,0.0,0.0
845f143ffffffff,16.0,0.0,0.0
845f15bffffffff,1.0,0.0,0.0
845f1c3ffffffff,2.0,0.0,0.0
845f1cbffffffff,3.0,0.0,0.0
845f291ffffffff,3.0,0.0,0.0
845f299ffffffff,1.0,0.0,0.0
845f2b3ffffffff,21.0,0.0,0.0
845f2bbffffffff,36.0,0.0,0.0
845f2d7ffffffff,4.0,0.0,0.0
845f42bffffffff,5.0,0.0,0.0
845f461ffffffff,1.0,0.0,0.0
845f4a7ffffffff,1.0,0.0,0.0
845f4a9ffffffff,9.0,0.0,0.0
845f4bdffffffff,5.0,0.0,0.0
845f4e5ffffffff,6.0,0.0,0.0
845f501ffffffff,2.0,0.0,0.0
845f50bffffffff,12.0,0.0,0.0
845f549ffffffff,13.0,0.0,0.0
845f581ffffffff,8.0,0.0,0.0
845f583ffffffff,2014.0,0.0,0.0
845f587ffffffff,5.0,0.0,0.0
845f58bffffffff,21.0,0.0,0.0
845f595ffffffff,28.0,0.0,0.0
845f5b9ffffffff,99.0,0.0,0.0
845f5d7ffffffff,6.0,0.0,0.0
845f68bffffffff,16.0,0.0,0.0
845f711ffffffff,3.0,0.0,0.0
845f713ffffffff,7.0,0.0,0.0
8466299ffffffff,4.0,0.0,0.0
846629bffffffff,2.0,0.0,0.0
84662edffffffff,3.0,0.0,0.0
8466411ffffffff,5.0,0.0,0.0
8466415ffffffff,92.0,0.0,0.0
846641dffffffff,21.0,0.0,0.0
