cell_id,Turdus javanicus,Turdus javanicus loeseri,Turdus javanicus indrapurae,Turdus javanicus fumidus/biesenbachi,Turdus javanicus javanicus,Turdus javanicus whiteheadi/stresemanni,Turdus javanicus seebohmi
84652d9ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
8468119ffffffff,48.0,0.0,0.0,0.0,0.0,0.0,19.0
846811bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,1.0
848c101ffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
848c16bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848cd0bffffffff,3.0,0.0,1.0,0.0,0.0,0.0,0.0
848d81bffffffff,7.0,0.0,0.0,0.0,0.0,3.0,0.0
848d84bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
848d85dffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
848d889ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
848d893ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
848d8c1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
