cell_id,Turdus migratorius,Turdus migratorius nigrideus,Turdus migratorius [migratorius Group],Turdus migratorius confinis
830743fffffffff,2.0,0.0,0.0,0.0
830c14fffffffff,13.0,0.0,0.0,0.0
830c41fffffffff,34.0,0.0,0.0,0.0
830c42fffffffff,18.0,0.0,5.0,0.0
830c46fffffffff,23.0,0.0,23.0,0.0
830c51fffffffff,18.0,0.0,2.0,0.0
830c55fffffffff,2.0,0.0,0.0,0.0
830c5afffffffff,39.0,0.0,0.0,0.0
830c62fffffffff,4.0,0.0,0.0,0.0
830c66fffffffff,2.0,0.0,2.0,0.0
830c70fffffffff,2.0,0.0,0.0,0.0
830c71fffffffff,11.0,0.0,2.0,0.0
830c73fffffffff,47.0,0.0,4.0,0.0
830ca4fffffffff,17.0,0.0,0.0,0.0
830cdefffffffff,2.0,0.0,0.0,0.0
830ce3fffffffff,4.0,0.0,0.0,0.0
830d49fffffffff,2.0,0.0,0.0,0.0
830d56fffffffff,3.0,0.0,0.0,0.0
830d59fffffffff,3.0,0.0,0.0,0.0
830d5afffffffff,5.0,0.0,0.0,0.0
830d62fffffffff,50.0,0.0,0.0,0.0
830d71fffffffff,1.0,0.0,0.0,0.0
830d72fffffffff,3.0,0.0,0.0,0.0
830e45fffffffff,2.0,0.0,0.0,0.0
830e4bfffffffff,2.0,0.0,2.0,0.0
830e5bfffffffff,2.0,0.0,1.0,0.0
830e80fffffffff,2.0,0.0,0.0,0.0
830ec5fffffffff,2.0,0.0,0.0,0.0
830ec8fffffffff,6.0,0.0,6.0,0.0
830ec9fffffffff,85.0,0.0,85.0,0.0
830ecbfffffffff,9.0,0.0,3.0,0.0
830eccfffffffff,27.0,0.0,14.0,0.0
830ecdfffffffff,43.0,0.0,43.0,0.0
830ee2fffffffff,1.0,0.0,1.0,0.0
830ee8fffffffff,2.0,0.0,2.0,0.0
830eeafffffffff,9.0,0.0,2.0,0.0
830eebfffffffff,8.0,0.0,0.0,0.0
830ef1fffffffff,23.0,0.0,23.0,0.0
831230fffffffff,1.0,0.0,0.0,0.0
83124efffffffff,2.0,0.0,0.0,0.0
831251fffffffff,50.0,0.0,50.0,0.0
831253fffffffff,10.0,0.0,10.0,0.0
831259fffffffff,19.0,0.0,0.0,0.0
83125dfffffffff,3.0,0.0,0.0,0.0
831272fffffffff,2.0,0.0,0.0,0.0
83128bfffffffff,3.0,0.0,0.0,0.0
8312b0fffffffff,4.0,0.0,0.0,0.0
8312c1fffffffff,9.0,0.0,0.0,0.0
8312c2fffffffff,1.0,0.0,0.0,0.0
8312c8fffffffff,16.0,0.0,0.0,0.0
8312c9fffffffff,6.0,0.0,0.0,0.0
8312cafffffffff,3.0,0.0,0.0,0.0
8312cbfffffffff,4.0,0.0,1.0,0.0
8312ccfffffffff,128.0,0.0,2.0,0.0
8312cdfffffffff,1.0,0.0,0.0,0.0
