cell_id,Turdus torquatus,Turdus torquatus torquatus,Turdus torquatus alpestris,Turdus torquatus amicorum
82074ffffffffff,1.0,0.0,0.0,0.0
82075ffffffffff,1.0,0.0,0.0,0.0
820767fffffffff,3.0,0.0,0.0,0.0
820897fffffffff,2.0,0.0,0.0,0.0
82089ffffffffff,3.0,0.0,0.0,0.0
8208a7fffffffff,2.0,2.0,0.0,0.0
820987fffffffff,2.0,0.0,0.0,0.0
82099ffffffffff,6.0,4.0,0.0,0.0
8209a7fffffffff,1.0,0.0,0.0,0.0
82182ffffffffff,3.0,1.0,0.0,0.0
821847fffffffff,1.0,1.0,0.0,0.0
82184ffffffffff,15.0,3.0,0.0,0.0
821867fffffffff,2.0,0.0,0.0,0.0
82186ffffffffff,2.0,0.0,0.0,0.0
82190ffffffffff,6.0,2.0,0.0,0.0
82192ffffffffff,6.0,0.0,0.0,0.0
821947fffffffff,12.0,1.0,0.0,0.0
82194ffffffffff,8.0,0.0,0.0,0.0
821957fffffffff,12.0,2.0,0.0,0.0
82195ffffffffff,15.0,0.0,0.0,0.0
82196ffffffffff,9.0,0.0,0.0,0.0
821977fffffffff,1.0,0.0,0.0,0.0
821e07fffffffff,36.0,0.0,2.0,0.0
821e0ffffffffff,2.0,0.0,0.0,0.0
821e17fffffffff,10.0,0.0,3.0,0.0
821e27fffffffff,35.0,0.0,3.0,0.0
821e37fffffffff,10.0,0.0,0.0,0.0
821ea7fffffffff,4.0,0.0,0.0,0.0
821eaffffffffff,1.0,0.0,0.0,0.0
821ec7fffffffff,2.0,0.0,0.0,0.0
821ecffffffffff,12.0,0.0,0.0,0.0
821edffffffffff,15.0,0.0,0.0,0.0
821ef7fffffffff,2.0,0.0,0.0,0.0
821f07fffffffff,1.0,0.0,0.0,0.0
821f0ffffffffff,3.0,0.0,0.0,0.0
821f1ffffffffff,3.0,0.0,0.0,0.0
821f27fffffffff,2.0,0.0,0.0,0.0
821f2ffffffffff,6.0,0.0,0.0,0.0
821f77fffffffff,3.0,2.0,0.0,0.0
821f87fffffffff,9.0,0.0,2.0,0.0
821f8ffffffffff,13.0,0.0,4.0,0.0
821f9ffffffffff,23.0,0.0,12.0,0.0
821faffffffffff,2.0,0.0,0.0,0.0
822c07fffffffff,2.0,0.0,0.0,0.0
822c1ffffffffff,3.0,0.0,0.0,0.0
822c2ffffffffff,223.0,0.0,2.0,0.0
822c37fffffffff,2.0,0.0,0.0,0.0
822c97fffffffff,4.0,0.0,0.0,0.0
822cc7fffffffff,4.0,0.0,0.0,2.0
822ccffffffffff,14.0,0.0,0.0,0.0
822cd7fffffffff,13.0,0.0,0.0,0.0
822cf7fffffffff,2.0,0.0,0.0,0.0
822d17fffffffff,2.0,0.0,0.0,0.0
822db7fffffffff,7.0,0.0,0.0,0.0
82344ffffffffff,3.0,0.0,0.0,0.0
82346ffffffffff,6.0,0.0,0.0,0.0
82382ffffffffff,1.0,0.0,0.0,0.0
823877fffffffff,1.0,0.0,0.0,0.0
823907fffffffff,89.0,4.0,6.0,0.0
82390ffffffffff,30.0,2.0,1.0,0.0
823917fffffffff,42.0,0.0,2.0,0.0
82391ffffffffff,56.0,5.0,5.0,0.0
823927fffffffff,28.0,6.0,0.0,0.0
82392ffffffffff,76.0,3.0,4.0,0.0
823937fffffffff,35.0,1.0,0.0,0.0
823947fffffffff,17.0,0.0,0.0,0.0
823957fffffffff,20.0,0.0,0.0,0.0
82395ffffffffff,55.0,0.0,0.0,0.0
823967fffffffff,6.0,0.0,0.0,0.0
82396ffffffffff,2.0,0.0,0.0,0.0
823977fffffffff,52.0,7.0,3.0,0.0
823987fffffffff,12.0,7.0,0.0,0.0
82398ffffffffff,1.0,1.0,0.0,0.0
823e6ffffffffff,1.0,0.0,0.0,0.0
823f37fffffffff,85.0,6.0,0.0,0.0
823f4ffffffffff,1.0,0.0,0.0,0.0
823f6ffffffffff,4.0,0.0,0.0,0.0
823f77fffffffff,1.0,0.0,0.0,0.0
8243a7fffffffff,8.0,0.0,0.0,5.0
8243affffffffff,8.0,0.0,0.0,4.0
