cell_id,Tychaedon quadrivirgata,Tychaedon quadrivirgata quadrivirgata,Tychaedon quadrivirgata greenwayi
827a67fffffffff,5.0,0.0,0.0
827b4ffffffffff,26.0,0.0,0.0
827b5ffffffffff,209.0,0.0,0.0
827b6ffffffffff,18.0,0.0,0.0
829607fffffffff,4.0,0.0,0.0
829627fffffffff,77.0,26.0,0.0
82962ffffffffff,10.0,4.0,0.0
829697fffffffff,6.0,0.0,0.0
8296b7fffffffff,12.0,0.0,0.0
829707fffffffff,56.0,3.0,0.0
82970ffffffffff,6.0,0.0,0.0
829717fffffffff,195.0,0.0,0.0
82971ffffffffff,13.0,0.0,0.0
82972ffffffffff,148.0,22.0,0.0
829737fffffffff,16.0,0.0,0.0
829747fffffffff,4.0,0.0,0.0
82974ffffffffff,20.0,0.0,0.0
829757fffffffff,228.0,18.0,0.0
82975ffffffffff,30.0,3.0,0.0
829777fffffffff,3.0,0.0,0.0
82978ffffffffff,22.0,0.0,0.0
829797fffffffff,3.0,0.0,0.0
8297affffffffff,16.0,0.0,0.0
8297b7fffffffff,7.0,0.0,0.0
82ac97fffffffff,7.0,0.0,0.0
82bc8ffffffffff,48.0,5.0,0.0
82bc9ffffffffff,18.0,0.0,0.0
82bcd7fffffffff,284.0,38.0,0.0
82bcf7fffffffff,512.0,108.0,0.0
