cell_id,Tyrannus caudifasciatus,Tyrannus caudifasciatus [caudifasciatus Group],Tyrannus caudifasciatus taylori,Tyrannus caudifasciatus gabbii
834416fffffffff,7.0,1.0,0.0,0.0
834430fffffffff,1.0,0.0,0.0,0.0
834480fffffffff,1.0,0.0,0.0,0.0
834484fffffffff,35.0,4.0,0.0,0.0
834486fffffffff,5.0,0.0,0.0,0.0
8344a1fffffffff,20.0,0.0,0.0,0.0
8344a3fffffffff,27.0,5.0,0.0,0.0
8344b5fffffffff,4.0,0.0,0.0,0.0
8345a3fffffffff,25.0,0.0,0.0,0.0
8345b2fffffffff,463.0,461.0,0.0,0.0
834c89fffffffff,1.0,0.0,0.0,1.0
834c8bfffffffff,5.0,0.0,0.0,0.0
834cc0fffffffff,12.0,0.0,10.0,0.0
834cc5fffffffff,50.0,0.0,50.0,0.0
834cd4fffffffff,44.0,0.0,0.0,13.0
834ce8fffffffff,58.0,0.0,6.0,0.0
834ceafffffffff,53.0,0.0,5.0,0.0
834ceefffffffff,10.0,0.0,10.0,0.0
836720fffffffff,6.0,0.0,0.0,0.0
836726fffffffff,2.0,0.0,0.0,0.0
836730fffffffff,41.0,41.0,0.0,0.0
836732fffffffff,40.0,40.0,0.0,0.0
836736fffffffff,92.0,92.0,0.0,0.0
