cell_id,Tyto furcata,Tyto furcata [tuidara Group],Tyto furcata furcata,Tyto furcata bargei,Tyto furcata nigrescens/insularis,Tyto furcata punctatissima
8412db5ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426009ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426015ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426021ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426029ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426031ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
8426033ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842603bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426107ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426127ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842614bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426153ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426183ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426199ffffffff,2.0,2.0,0.0,0.0,0.0,0.0
842619dffffffff,2.0,2.0,0.0,0.0,0.0,0.0
84261b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84261ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426417ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426433ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426437ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8426439ffffffff,177.0,0.0,0.0,0.0,0.0,0.0
842643bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426481ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
842648bffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426499ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84264a3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84264a7ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
84264c7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84264cbffffffff,10.0,0.0,0.0,0.0,0.0,0.0
84264d3ffffffff,39.0,0.0,0.0,0.0,0.0,0.0
84264dbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84264e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84264e5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84264e7ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426523ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842652bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
842652dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426531ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
8426535ffffffff,44.0,0.0,0.0,0.0,0.0,0.0
8426537ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842653bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842653dffffffff,17.0,0.0,0.0,0.0,0.0,0.0
8426563ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426567ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426587ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
842658bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426593ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426599ffffffff,47.0,2.0,0.0,0.0,0.0,0.0
84265b3ffffffff,29.0,3.0,0.0,0.0,0.0,0.0
84265b5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84265b9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84265d3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84265d7ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84265d9ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84265dbffffffff,14.0,0.0,0.0,0.0,0.0,0.0
8426689ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426693ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426695ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426699ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266a3ffffffff,8.0,0.0,0.0,0.0,0.0,0.0
84266a7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84266b3ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84266b5ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84266b7ffffffff,117.0,1.0,0.0,0.0,0.0,0.0
84266d3ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84266dbffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84266ddffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84266e1ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426813ffffffff,10.0,0.0,0.0,0.0,0.0,0.0
842681bffffffff,49.0,0.0,0.0,0.0,0.0,0.0
8426853ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
8426881ffffffff,20.0,0.0,0.0,0.0,0.0,0.0
8426885ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426889ffffffff,229.0,0.0,0.0,0.0,0.0,0.0
842688bffffffff,3.0,0.0,0.0,0.0,0.0,0.0
842688dffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426891ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426893ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
8426895ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426897ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426899ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
842689dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268b3ffffffff,21.0,1.0,0.0,0.0,0.0,0.0
84268bbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268c1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268c7ffffffff,16.0,0.0,0.0,0.0,0.0,0.0
84268c9ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
84268cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84268cdffffffff,74.0,0.0,0.0,0.0,0.0,0.0
84268d1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268d3ffffffff,21.0,0.0,0.0,0.0,0.0,0.0
84268d5ffffffff,60.0,0.0,0.0,0.0,0.0,0.0
84268d7ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
84268d9ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84268dbffffffff,20.0,0.0,0.0,0.0,0.0,0.0
84268ddffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84268e3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426905ffffffff,89.0,8.0,0.0,0.0,0.0,0.0
842690bffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426921ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426927ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426929ffffffff,57.0,1.0,0.0,0.0,0.0,0.0
842692bffffffff,1.0,0.0,0.0,0.0,0.0,0.0
842694dffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426955ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426961ffffffff,488.0,267.0,0.0,0.0,0.0,0.0
8426963ffffffff,82.0,36.0,0.0,0.0,0.0,0.0
8426965ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
8426967ffffffff,3.0,0.0,0.0,0.0,0.0,0.0
8426969ffffffff,801.0,115.0,0.0,0.0,0.0,0.0
8426981ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426987ffffffff,22.0,0.0,0.0,0.0,0.0,0.0
84269a7ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
84269abffffffff,2.0,0.0,0.0,0.0,0.0,0.0
84269c1ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
84269c3ffffffff,7.0,0.0,0.0,0.0,0.0,0.0
84269cbffffffff,3.0,0.0,0.0,0.0,0.0,0.0
84269cdffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426a81ffffffff,25.0,0.0,0.0,0.0,0.0,0.0
8426a83ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8426a87ffffffff,12.0,0.0,0.0,0.0,0.0,0.0
8426a8bffffffff,60.0,0.0,0.0,0.0,0.0,0.0
8426a91ffffffff,13.0,0.0,0.0,0.0,0.0,0.0
8426a93ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
8426a95ffffffff,11.0,0.0,0.0,0.0,0.0,0.0
8426a97ffffffff,32.0,0.0,0.0,0.0,0.0,0.0
8426a9dffffffff,8.0,0.0,0.0,0.0,0.0,0.0
