cell_id,Vireo griseus,Vireo griseus [griseus Group],Vireo griseus perquisitor
8212dffffffffff,4.0,0.0,0.0
821aa7fffffffff,21.0,0.0,0.0
822607fffffffff,20.0,0.0,0.0
82260ffffffffff,26.0,0.0,0.0
822627fffffffff,2.0,0.0,0.0
82262ffffffffff,35.0,0.0,0.0
822637fffffffff,7.0,0.0,0.0
822647fffffffff,70.0,0.0,0.0
82264ffffffffff,162.0,17.0,0.0
822657fffffffff,37.0,0.0,0.0
82265ffffffffff,103.0,3.0,0.0
822667fffffffff,75.0,0.0,0.0
82266ffffffffff,38.0,0.0,0.0
822677fffffffff,25.0,0.0,0.0
822687fffffffff,16.0,0.0,0.0
82268ffffffffff,209.0,2.0,0.0
8226affffffffff,37.0,0.0,0.0
8226c7fffffffff,7.0,0.0,0.0
8226cffffffffff,37.0,0.0,0.0
8226d7fffffffff,23.0,0.0,0.0
8226dffffffffff,13.0,0.0,0.0
8226e7fffffffff,18.0,0.0,0.0
8226effffffffff,18.0,0.0,0.0
8226f7fffffffff,79.0,0.0,0.0
822747fffffffff,6.0,0.0,0.0
82274ffffffffff,625.0,2.0,0.0
822757fffffffff,7.0,0.0,0.0
82275ffffffffff,230.0,2.0,0.0
822767fffffffff,12.0,3.0,0.0
82276ffffffffff,19.0,0.0,0.0
822777fffffffff,29.0,1.0,0.0
822787fffffffff,3.0,0.0,0.0
8227affffffffff,7.0,0.0,0.0
822807fffffffff,14.0,0.0,0.0
82281ffffffffff,12.0,0.0,0.0
822837fffffffff,33.0,0.0,0.0
822897fffffffff,7.0,0.0,0.0
8228dffffffffff,3.0,3.0,0.0
822917fffffffff,10.0,0.0,0.0
82291ffffffffff,10.0,0.0,0.0
822987fffffffff,30.0,0.0,0.0
82298ffffffffff,13.0,0.0,0.0
8229a7fffffffff,167.0,4.0,0.0
8229affffffffff,66.0,3.0,0.0
8229b7fffffffff,15.0,0.0,0.0
822a07fffffffff,17.0,0.0,0.0
822a17fffffffff,801.0,11.0,0.0
822a37fffffffff,550.0,1.0,0.0
822a4ffffffffff,3.0,1.0,0.0
822a87fffffffff,65.0,0.0,0.0
822a8ffffffffff,156.0,0.0,0.0
822a97fffffffff,15.0,0.0,0.0
822a9ffffffffff,12.0,0.0,0.0
822aa7fffffffff,182.0,3.0,0.0
822aaffffffffff,600.0,31.0,0.0
822ab7fffffffff,413.0,42.0,0.0
822ad7fffffffff,75.0,0.0,0.0
822af7fffffffff,147.0,2.0,0.0
822b07fffffffff,6.0,0.0,0.0
822b0ffffffffff,109.0,0.0,0.0
822b17fffffffff,2.0,0.0,0.0
822b1ffffffffff,137.0,0.0,0.0
822b27fffffffff,3.0,0.0,0.0
822b37fffffffff,6.0,0.0,0.0
822b87fffffffff,26.0,0.0,0.0
822b8ffffffffff,39.0,0.0,0.0
822b9ffffffffff,244.0,3.0,0.0
822baffffffffff,223.0,0.0,0.0
8235affffffffff,5.0,0.0,0.0
824417fffffffff,32.0,3.0,0.0
82441ffffffffff,68.0,21.0,0.0
824447fffffffff,100.0,0.0,0.0
82444ffffffffff,38.0,0.0,0.0
824457fffffffff,158.0,0.0,0.0
82445ffffffffff,21.0,0.0,0.0
82446ffffffffff,53.0,0.0,0.0
824477fffffffff,29.0,0.0,0.0
824487fffffffff,22.0,0.0,0.0
8244a7fffffffff,20.0,11.0,0.0
8244affffffffff,45.0,9.0,0.0
8244b7fffffffff,16.0,0.0,0.0
8244c7fffffffff,127.0,0.0,0.0
8244cffffffffff,135.0,2.0,0.0
8244d7fffffffff,238.0,0.0,0.0
8244dffffffffff,58.0,0.0,0.0
8244e7fffffffff,11.0,0.0,0.0
8244effffffffff,73.0,1.0,0.0
8244f7fffffffff,71.0,12.0,0.0
824507fffffffff,14.0,5.0,0.0
82450ffffffffff,904.0,861.0,0.0
82451ffffffffff,4.0,4.0,0.0
824527fffffffff,25.0,0.0,0.0
82452ffffffffff,92.0,28.0,0.0
824537fffffffff,4.0,0.0,0.0
824577fffffffff,48.0,45.0,0.0
824587fffffffff,2.0,0.0,0.0
82459ffffffffff,2.0,0.0,0.0
8245a7fffffffff,39.0,0.0,0.0
824807fffffffff,1.0,0.0,0.0
82480ffffffffff,3.0,3.0,0.0
82485ffffffffff,1.0,0.0,0.0
824877fffffffff,1.0,0.0,0.0
824887fffffffff,7.0,0.0,0.0
82488ffffffffff,27.0,0.0,0.0
824897fffffffff,43.0,0.0,0.0
82489ffffffffff,110.0,0.0,0.0
8248a7fffffffff,20.0,0.0,0.0
8248affffffffff,14.0,0.0,0.0
8248b7fffffffff,14.0,6.0,0.0
8248c7fffffffff,15.0,1.0,0.0
8248cffffffffff,9.0,1.0,0.0
8248d7fffffffff,49.0,0.0,0.0
8248dffffffffff,37.0,0.0,0.0
8248effffffffff,114.0,0.0,0.0
8248f7fffffffff,1.0,0.0,0.0
824987fffffffff,1.0,0.0,0.0
824997fffffffff,93.0,6.0,19.0
82499ffffffffff,23.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0
824c87fffffffff,5.0,0.0,0.0
824c97fffffffff,2.0,0.0,0.0
824caffffffffff,1.0,0.0,0.0
824cc7fffffffff,30.0,0.0,0.0
824cd7fffffffff,2.0,0.0,0.0
825e5ffffffffff,4.0,0.0,0.0
8266a7fffffffff,22.0,0.0,0.0
8266b7fffffffff,12.0,0.0,0.0
826737fffffffff,8.0,0.0,0.0
826757fffffffff,5.0,0.0,0.0
826787fffffffff,3.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0
82679ffffffffff,8.0,0.0,0.0
826d07fffffffff,4.0,0.0,0.0
826d17fffffffff,22.0,7.0,0.0
826d27fffffffff,16.0,3.0,0.0
826d2ffffffffff,12.0,0.0,0.0
826d37fffffffff,41.0,13.0,0.0
826d67fffffffff,30.0,0.0,0.0
826d6ffffffffff,23.0,2.0,0.0
826d77fffffffff,1.0,0.0,0.0
