cell_id,Vireo huttoni,Vireo huttoni [huttoni Group],Vireo huttoni [stephensi Group]
8212d7fffffffff,7.0,0.0,0.0
8226dffffffffff,2.0,0.0,2.0
822807fffffffff,2.0,1.0,0.0
822817fffffffff,32.0,0.0,0.0
82281ffffffffff,7.0,0.0,0.0
822837fffffffff,1132.0,15.0,0.0
82288ffffffffff,6.0,0.0,0.0
8228affffffffff,64.0,0.0,0.0
8228c7fffffffff,10.0,6.0,0.0
8228d7fffffffff,44.0,8.0,0.0
8228dffffffffff,14.0,2.0,0.0
8228f7fffffffff,40.0,0.0,0.0
822917fffffffff,25.0,10.0,0.0
82291ffffffffff,1.0,1.0,0.0
82298ffffffffff,6.0,0.0,0.0
822997fffffffff,4.0,0.0,0.0
8229a7fffffffff,145.0,11.0,0.0
8229affffffffff,69.0,2.0,0.0
8229b7fffffffff,329.0,0.0,10.0
824817fffffffff,9.0,0.0,2.0
82482ffffffffff,7.0,0.0,0.0
824837fffffffff,3.0,0.0,3.0
82485ffffffffff,5.0,0.0,0.0
82488ffffffffff,33.0,0.0,0.0
824897fffffffff,1.0,0.0,0.0
82489ffffffffff,289.0,0.0,6.0
8248a7fffffffff,1.0,0.0,1.0
8248affffffffff,13.0,0.0,5.0
8248c7fffffffff,33.0,0.0,14.0
8248cffffffffff,290.0,0.0,17.0
8248d7fffffffff,17.0,0.0,0.0
8248effffffffff,1222.0,0.0,404.0
8248f7fffffffff,5.0,0.0,5.0
824987fffffffff,11.0,0.0,7.0
824997fffffffff,21.0,0.0,10.0
82499ffffffffff,5.0,0.0,4.0
8249affffffffff,2.0,0.0,2.0
8249b7fffffffff,21.0,0.0,21.0
826d27fffffffff,11.0,0.0,2.0
826d2ffffffffff,4.0,0.0,0.0
826d37fffffffff,11.0,0.0,1.0
