cell_id,Willisornis poecilinotus,Willisornis poecilinotus poecilinotus,Willisornis poecilinotus lepidonota/duidae,Willisornis poecilinotus gutturalis,Willisornis poecilinotus griseiventris
835f00fffffffff,6.0,0.0,0.0,0.0,0.0
835f01fffffffff,6.0,0.0,0.0,0.0,0.0
835f02fffffffff,2.0,0.0,0.0,0.0,0.0
835f03fffffffff,45.0,0.0,0.0,0.0,0.0
835f10fffffffff,9.0,0.0,0.0,0.0,0.0
835f11fffffffff,2.0,0.0,0.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0,0.0
835f13fffffffff,3.0,0.0,0.0,0.0,0.0
835f14fffffffff,9.0,0.0,0.0,0.0,0.0
835f15fffffffff,2.0,0.0,0.0,0.0,0.0
835f16fffffffff,8.0,0.0,0.0,0.0,0.0
835f1cfffffffff,1.0,0.0,0.0,0.0,0.0
835f2bfffffffff,107.0,0.0,0.0,0.0,0.0
835f40fffffffff,1.0,0.0,0.0,0.0,0.0
835f54fffffffff,14.0,0.0,0.0,0.0,0.0
835f68fffffffff,9.0,0.0,0.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0,0.0,0.0
835f71fffffffff,8.0,0.0,0.0,0.0,0.0
835f75fffffffff,15.0,0.0,0.0,0.0,0.0
836641fffffffff,128.0,0.0,0.0,0.0,0.0
836648fffffffff,9.0,0.0,0.0,0.0,0.0
83664dfffffffff,1.0,0.0,0.0,0.0,0.0
83664efffffffff,2.0,0.0,0.0,0.0,0.0
836651fffffffff,1.0,0.0,0.0,0.0,0.0
83665afffffffff,81.0,0.0,0.0,0.0,0.0
83665bfffffffff,78.0,0.0,0.0,0.0,0.0
83665efffffffff,1.0,0.0,0.0,0.0,0.0
836663fffffffff,1.0,0.0,0.0,0.0,0.0
83666afffffffff,4.0,0.0,0.0,0.0,0.0
83666bfffffffff,3.0,0.0,0.0,0.0,0.0
83666cfffffffff,7.0,0.0,0.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0,0.0,0.0
8366c0fffffffff,2.0,0.0,0.0,0.0,0.0
8366c1fffffffff,3.0,0.0,0.0,0.0,0.0
8366c2fffffffff,51.0,0.0,0.0,0.0,0.0
8366c5fffffffff,3.0,0.0,0.0,0.0,0.0
8366c9fffffffff,4.0,0.0,0.0,0.0,0.0
8366cefffffffff,19.0,0.0,0.0,0.0,0.0
8366d1fffffffff,274.0,0.0,1.0,0.0,0.0
8366d8fffffffff,58.0,0.0,2.0,0.0,0.0
8366dafffffffff,43.0,0.0,10.0,0.0,0.0
8366dbfffffffff,1.0,0.0,0.0,0.0,0.0
8366dcfffffffff,334.0,0.0,35.0,0.0,0.0
8366ddfffffffff,63.0,0.0,0.0,0.0,0.0
8366defffffffff,262.0,0.0,39.0,0.0,0.0
8366e3fffffffff,3.0,0.0,0.0,0.0,0.0
8366ecfffffffff,32.0,0.0,0.0,0.0,0.0
8366eefffffffff,11.0,0.0,0.0,0.0,0.0
83806bfffffffff,2.0,0.0,0.0,0.0,0.0
838a00fffffffff,19.0,0.0,0.0,0.0,0.0
838a01fffffffff,8.0,0.0,0.0,0.0,0.0
838a04fffffffff,3.0,0.0,0.0,0.0,0.0
838a05fffffffff,23.0,0.0,0.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0,0.0,0.0
838a10fffffffff,28.0,0.0,0.0,0.0,0.0
838a15fffffffff,12.0,0.0,0.0,0.0,0.0
838a19fffffffff,1.0,0.0,0.0,0.0,0.0
838a1afffffffff,20.0,0.0,0.0,0.0,0.0
838a1efffffffff,2.0,0.0,0.0,0.0,0.0
838a20fffffffff,1.0,0.0,0.0,0.0,0.0
838a21fffffffff,13.0,0.0,0.0,0.0,0.0
838a24fffffffff,5.0,0.0,0.0,0.0,0.0
838a2cfffffffff,4.0,0.0,0.0,0.0,0.0
838a31fffffffff,54.0,0.0,0.0,0.0,0.0
838a33fffffffff,9.0,0.0,0.0,0.0,0.0
838a34fffffffff,1.0,0.0,0.0,0.0,0.0
838a45fffffffff,40.0,0.0,0.0,0.0,0.0
838a4bfffffffff,4.0,0.0,0.0,0.0,0.0
838a56fffffffff,3.0,0.0,0.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,0.0,0.0
838a63fffffffff,33.0,0.0,0.0,0.0,0.0
838a68fffffffff,8.0,0.0,0.0,0.0,0.0
838a69fffffffff,79.0,0.0,0.0,0.0,0.0
838a6bfffffffff,1.0,0.0,0.0,0.0,0.0
838a6dfffffffff,110.0,0.0,0.0,0.0,0.0
838a6efffffffff,3.0,0.0,0.0,0.0,0.0
838a70fffffffff,6.0,0.0,0.0,0.0,0.0
838a73fffffffff,12.0,0.0,0.0,0.0,0.0
838a75fffffffff,4.0,0.0,0.0,0.0,0.0
838a80fffffffff,8.0,0.0,0.0,0.0,0.0
838aa8fffffffff,25.0,0.0,0.0,0.0,0.0
838aa9fffffffff,7.0,0.0,0.0,0.0,0.0
838aacfffffffff,8.0,0.0,0.0,0.0,0.0
838aadfffffffff,6.0,0.0,0.0,0.0,0.0
838adbfffffffff,4.0,0.0,0.0,0.0,0.0
838adcfffffffff,6.0,2.0,0.0,0.0,0.0
838ae5fffffffff,4.0,0.0,0.0,0.0,0.0
838af0fffffffff,44.0,0.0,0.0,0.0,0.0
