cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
824527fffffffff,42.0,3.0,0.0,0.0,0.0
82452ffffffffff,64.0,8.0,0.0,0.0,0.0
824537fffffffff,1.0,0.0,0.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0,0.0,0.0
82661ffffffffff,4.0,0.0,2.0,0.0,0.0
826627fffffffff,3.0,0.0,0.0,0.0,0.0
82662ffffffffff,1.0,0.0,0.0,0.0,0.0
8266a7fffffffff,9.0,0.0,0.0,0.0,0.0
8266c7fffffffff,3.0,0.0,0.0,3.0,0.0
8266d7fffffffff,8.0,0.0,0.0,3.0,0.0
8266dffffffffff,3.0,0.0,0.0,3.0,0.0
8266e7fffffffff,5.0,0.0,3.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0,0.0
826d17fffffffff,6.0,0.0,0.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0,0.0,0.0
826d2ffffffffff,28.0,3.0,0.0,0.0,0.0
826d37fffffffff,9.0,2.0,0.0,0.0,0.0
826d6ffffffffff,17.0,0.0,0.0,0.0,0.0
828b9ffffffffff,1.0,0.0,0.0,1.0,0.0
828e67fffffffff,4.0,0.0,4.0,0.0,0.0
828f0ffffffffff,2.0,0.0,0.0,0.0,0.0
828f47fffffffff,1.0,0.0,1.0,0.0,0.0
