cell_id,Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus [emigrans Group],Xiphocolaptes promeropirhynchus [promeropirhynchus Group],Xiphocolaptes promeropirhynchus [orenocensis Group],Xiphocolaptes promeropirhynchus carajaensis
8445201ffffffff,22.0,0.0,0.0,0.0,0.0
8445205ffffffff,3.0,0.0,0.0,0.0,0.0
8445207ffffffff,9.0,0.0,0.0,0.0,0.0
8445209ffffffff,5.0,0.0,0.0,0.0,0.0
844520dffffffff,22.0,0.0,0.0,0.0,0.0
8445217ffffffff,11.0,0.0,0.0,0.0,0.0
8445241ffffffff,11.0,0.0,0.0,0.0,0.0
8445243ffffffff,132.0,0.0,0.0,0.0,0.0
8445245ffffffff,3.0,0.0,0.0,0.0,0.0
8445247ffffffff,22.0,0.0,0.0,0.0,0.0
844524bffffffff,5.0,0.0,0.0,0.0,0.0
8445255ffffffff,3.0,0.0,0.0,0.0,0.0
844525bffffffff,11.0,2.0,0.0,0.0,0.0
844525dffffffff,1.0,0.0,0.0,0.0,0.0
8445261ffffffff,6.0,0.0,0.0,0.0,0.0
8445263ffffffff,14.0,0.0,0.0,0.0,0.0
8445269ffffffff,5.0,0.0,0.0,0.0,0.0
844526bffffffff,22.0,0.0,0.0,0.0,0.0
844526dffffffff,42.0,0.0,0.0,0.0,0.0
8445289ffffffff,4.0,0.0,0.0,0.0,0.0
844528dffffffff,8.0,0.0,0.0,0.0,0.0
84452a9ffffffff,45.0,0.0,0.0,0.0,0.0
84452c3ffffffff,25.0,6.0,0.0,0.0,0.0
84452c7ffffffff,5.0,0.0,0.0,0.0,0.0
84452d9ffffffff,2.0,0.0,0.0,0.0,0.0
84452e3ffffffff,91.0,0.0,0.0,0.0,0.0
84452e9ffffffff,45.0,0.0,0.0,0.0,0.0
84452ebffffffff,119.0,33.0,0.0,0.0,0.0
84452edffffffff,12.0,0.0,0.0,0.0,0.0
8445303ffffffff,5.0,0.0,0.0,0.0,0.0
8445309ffffffff,5.0,0.0,0.0,0.0,0.0
844532bffffffff,3.0,0.0,0.0,0.0,0.0
8445343ffffffff,16.0,0.0,0.0,0.0,0.0
8445351ffffffff,48.0,0.0,0.0,0.0,0.0
8445355ffffffff,3.0,0.0,0.0,0.0,0.0
844535bffffffff,2.0,0.0,0.0,0.0,0.0
8445365ffffffff,1.0,0.0,0.0,0.0,0.0
8449917ffffffff,13.0,0.0,0.0,0.0,0.0
84499c5ffffffff,4.0,0.0,0.0,0.0,0.0
845f0b9ffffffff,1.0,0.0,0.0,0.0,0.0
845f29dffffffff,5.0,0.0,0.0,0.0,0.0
845f2b3ffffffff,5.0,0.0,0.0,0.0,0.0
845f2bbffffffff,5.0,0.0,0.0,0.0,0.0
845f42bffffffff,12.0,0.0,1.0,0.0,0.0
