cell_id,Zimmerius viridiflavus,Zimmerius viridiflavus flavidifrons,Zimmerius viridiflavus viridiflavus,Zimmerius viridiflavus [undescribed form]
838e64fffffffff,569.0,0.0,0.0,0.0
838e65fffffffff,18.0,0.0,0.0,0.0
838f0dfffffffff,423.0,285.0,0.0,0.0
838f40fffffffff,149.0,0.0,1.0,43.0
838f42fffffffff,116.0,0.0,0.0,6.0
838f43fffffffff,197.0,0.0,2.0,17.0
838f46fffffffff,865.0,0.0,14.0,217.0
838f48fffffffff,6.0,0.0,0.0,0.0
838f4afffffffff,153.0,0.0,6.0,0.0
838f55fffffffff,11.0,0.0,0.0,0.0
838f59fffffffff,5.0,0.0,0.0,0.0
838f5cfffffffff,5.0,0.0,0.0,0.0
838f5dfffffffff,86.0,0.0,0.0,0.0
838f72fffffffff,126.0,65.0,0.0,0.0
838f73fffffffff,421.0,0.0,0.0,104.0
